order,energy,share_of_total_energy,share_of_nonconstant_energy,cumulative_share_of_nonconstant_energy
0,0.2512955936217933,0.9287171529852705,0.0,0.0
1,0.018831050151744345,0.06959421386023923,0.9763108065234659,0.9763108065234659
2,0.00014476417788262814,0.000535007292407009,0.007505414202893147,0.983816220726359
3,0.00012096244358410619,0.00044704284147794123,0.0062713943143371895,0.9900876150406961
4,9.018442721173868e-5,0.0003332960330762826,0.004675683520432523,0.9947632985611287
5,5.922778796078286e-5,0.00021888908523934905,0.0030707118809959917,0.9978340104421246
6,2.85951965619763e-5,0.00010567972624327669,0.0014825407607729226,0.9993165512028975
7,1.0599092607858871e-5,3.9171236427697734e-5,0.0005495184054531897,0.9998660696083508
8,2.194733254444585e-6,8.111110864512605e-6,0.00011378769513564165,0.9999798573034864
9,3.885116560274602e-7,1.4358287540467403e-6,2.014269651365148e-5,1.0
