feature_a,feature_b,coefficient,interaction_effect,abs_interaction_effect
7,8,-0.004138927747825372,-0.016555710991301487,0.016555710991301487
4,7,-0.003842382998535606,-0.015369531994142423,0.015369531994142423
7,9,-0.003199884276235687,-0.012799537104942749,0.012799537104942749
8,9,-0.003092702086413518,-0.012370808345654072,0.012370808345654072
3,4,-0.0027747201541012227,-0.011098880616404891,0.011098880616404891
4,8,-0.002708620232859822,-0.010834480931439287,0.010834480931439287
4,9,-0.0024114782729691003,-0.009645913091876401,0.009645913091876401
3,8,-0.002348356488490671,-0.009393425953962684,0.009393425953962684
3,7,-0.0022471324348395764,-0.008988529739358306,0.008988529739358306
2,8,-0.0021238809724843204,-0.008495523889937281,0.008495523889937281
5,8,-0.0021214958553707336,-0.008485983421482934,0.008485983421482934
2,3,-0.002068495451802581,-0.008273981807210324,0.008273981807210324
6,8,-0.0020673042902296657,-0.008269217160918663,0.008269217160918663
5,7,-0.0020643312757408355,-0.008257325102963342,0.008257325102963342
2,5,-0.0020476592046713535,-0.008190636818685414,0.008190636818685414
2,7,-0.0019488095579242408,-0.007795238231696963,0.007795238231696963
6,7,-0.0019398765446191832,-0.007759506178476733,0.007759506178476733
2,9,-0.0016659689874893094,-0.0066638759499572375,0.0066638759499572375
4,6,-0.0016635852673595854,-0.006654341069438342,0.006654341069438342
3,6,-0.0015962937188839614,-0.006385174875535846,0.006385174875535846
5,9,-0.0015325779834335779,-0.0061303119337343115,0.0061303119337343115
4,5,-0.0014319488120770165,-0.005727795248308066,0.005727795248308066
3,5,-0.0014289739349430501,-0.0057158957397722004,0.0057158957397722004
5,6,-0.0013801418983882402,-0.005520567593552961,0.005520567593552961
2,4,-0.0013366731157099885,-0.005346692462839954,0.005346692462839954
6,9,-0.0012866461922919556,-0.005146584769167822,0.005146584769167822
1,9,-0.0012503339251076877,-0.005001335700430751,0.005001335700430751
2,6,-0.001025246064508527,-0.004100984258034108,0.004100984258034108
1,8,-0.0009865454205816686,-0.003946181682326674,0.003946181682326674
1,7,-0.0009591491700654915,-0.003836596680261966,0.003836596680261966
1,6,-0.000947833833614558,-0.003791335334458232,0.003791335334458232
3,9,-0.0009353257057761813,-0.003741302823104725,0.003741302823104725
1,4,-0.0007364452624267035,-0.002945781049706814,0.002945781049706814
1,2,-0.0007102411048060351,-0.0028409644192241403,0.0028409644192241403
1,3,-0.000698926234016388,-0.002795704936065552,0.002795704936065552
1,5,-0.000612588673228591,-0.002450354692914364,0.002450354692914364
