order,mask,features,coefficient,abs_coefficient
1,1,1,0.048677020352935224,0.048677020352935224
1,16,5,0.04788982064523343,0.04788982064523343
1,32,6,0.04764984838724676,0.04764984838724676
1,2,2,0.04700376593567971,0.04700376593567971
1,4,3,0.04623739572302047,0.04623739572302047
1,128,8,0.04555559798203948,0.04555559798203948
1,64,7,0.04386566567294839,0.04386566567294839
1,256,9,0.04301949974209607,0.04301949974209607
1,8,4,0.041233694991698294,0.041233694991698294
2,192,7+8,-0.004138927747825372,0.004138927747825372
2,72,4+7,-0.003842382998535606,0.003842382998535606
2,320,7+9,-0.003199884276235687,0.003199884276235687
2,384,8+9,-0.003092702086413518,0.003092702086413518
2,12,3+4,-0.0027747201541012227,0.0027747201541012227
2,136,4+8,-0.002708620232859822,0.002708620232859822
3,200,4+7+8,-0.0025484364753162536,0.0025484364753162536
3,448,7+8+9,-0.002477583549315293,0.002477583549315293
3,196,3+7+8,-0.002423993385726778,0.002423993385726778
2,264,4+9,-0.0024114782729691003,0.0024114782729691003
2,132,3+8,-0.002348356488490671,0.002348356488490671
2,68,3+7,-0.0022471324348395764,0.0022471324348395764
2,130,2+8,-0.0021238809724843204,0.0021238809724843204
2,144,5+8,-0.0021214958553707336,0.0021214958553707336
2,6,2+3,-0.002068495451802581,0.002068495451802581
2,160,6+8,-0.0020673042902296657,0.0020673042902296657
2,80,5+7,-0.0020643312757408355,0.0020643312757408355
2,18,2+5,-0.0020476592046713535,0.0020476592046713535
2,66,2+7,-0.0019488095579242408,0.0019488095579242408
2,96,6+7,-0.0019398765446191832,0.0019398765446191832
3,140,3+4+8,-0.001938092596227495,0.001938092596227495
3,76,3+4+7,-0.0018833075457757396,0.0018833075457757396
4,204,3+4+7+8,-0.0018827142932957078,0.0018827142932957078
3,208,5+7+8,-0.0018565112998282576,0.0018565112998282576
3,224,6+7+8,-0.0018166206584816838,0.0018166206584816838
3,194,2+7+8,-0.0017886258003806752,0.0017886258003806752
3,328,4+7+9,-0.0017272961133664487,0.0017272961133664487
3,134,2+3+8,-0.0016844240756278914,0.0016844240756278914
2,258,2+9,-0.0016659689874893094,0.0016659689874893094
2,40,4+6,-0.0016635852673595854,0.0016635852673595854
2,36,3+6,-0.0015962937188839614,0.0015962937188839614
3,168,4+6+8,-0.0015820060664361374,0.0015820060664361374
3,386,2+8+9,-0.0015450870425945187,0.0015450870425945187
3,148,3+5+8,-0.001542704719448654,0.001542704719448654
2,272,5+9,-0.0015325779834335779,0.0015325779834335779
3,28,3+4+5,-0.0014807699055915755,0.0014807699055915755
3,104,4+6+7,-0.001474818288678491,0.001474818288678491
3,82,2+5+7,-0.0014742224750613855,0.0014742224750613855
3,152,4+5+8,-0.0014706527156328813,0.0014706527156328813
3,100,3+6+7,-0.0014623141189610642,0.0014623141189610642
3,22,2+3+5,-0.0014605262124484457,0.0014605262124484457
