order,energy,share_of_total_energy,share_of_nonconstant_energy,cumulative_share_of_nonconstant_energy
0,0.9066363653218662,0.999692965896115,0.0,0.0
1,0.00015634291626890828,0.0001723898573230365,0.5614681077497429,0.5614681077497429
2,5.7616999759829514e-5,6.353077328361002e-5,0.20691764360930173,0.7683857513590445
3,2.3911807643762797e-5,2.6366100917256134e-5,0.08587352539546615,0.8542592767545106
4,1.166846331800729e-5,1.286610723769895e-5,0.041904489028721806,0.8961637657832324
5,1.205306077870713e-5,1.3290179545924357e-5,0.043285678619256765,0.9394494444024892
6,1.043260071591685e-5,1.1503396455978572e-5,0.03746618473458355,0.9769156291370727
7,4.8400843809989705e-6,5.336867673855731e-6,0.01738200286653482,0.9942976320036075
8,1.5216327504542265e-6,1.6778122028738808e-6,0.005464579281725183,0.9997622112853328
9,6.62131661509598e-8,7.300924492183374e-8,0.0002377887146671575,1.0
