feature_a,feature_b,coefficient,interaction_effect,abs_interaction_effect
7,8,-0.003258301524733373,-0.013033206098933492,0.013033206098933492
4,7,-0.0029617567754436254,-0.011847027101774502,0.011847027101774502
7,9,-0.0023192580531436885,-0.009277032212574754,0.009277032212574754
8,9,-0.0022120758633215054,-0.008848303453286022,0.008848303453286022
3,4,-0.0018940939310092457,-0.007576375724036983,0.007576375724036983
4,8,-0.0018279940097678422,-0.007311976039071369,0.007311976039071369
4,9,-0.001530852049877119,-0.006123408199508476,0.006123408199508476
3,8,-0.001467730265398694,-0.005870921061594776,0.005870921061594776
3,7,-0.0013665062117475995,-0.005466024846990398,0.005466024846990398
2,8,-0.0012432547493923434,-0.0049730189975693735,0.0049730189975693735
5,8,-0.0012408696322787523,-0.004963478529115009,0.004963478529115009
2,3,-0.0011878692287106045,-0.004751476914842418,0.004751476914842418
6,8,-0.001186678067137667,-0.004746712268550668,0.004746712268550668
5,7,-0.0011837050526488542,-0.004734820210595417,0.004734820210595417
2,5,-0.001167032981579376,-0.004668131926317504,0.004668131926317504
2,7,-0.0010681833348322638,-0.004272733339329055,0.004272733339329055
6,7,-0.0010592503215271915,-0.004237001286108766,0.004237001286108766
2,9,-0.0007853427643973359,-0.0031413710575893435,0.0031413710575893435
4,6,-0.0007829590442676067,-0.0031318361770704267,0.0031318361770704267
3,6,-0.0007156674957919844,-0.0028626699831679377,0.0028626699831679377
5,9,-0.0006519517603415965,-0.002607807041366386,0.002607807041366386
4,5,-0.0005513225889850377,-0.002205290355940151,0.002205290355940151
3,5,-0.0005483477118510731,-0.0021933908474042925,0.0021933908474042925
5,6,-0.0004995156752962589,-0.0019980627011850355,0.0019980627011850355
2,4,-0.00045604689261801324,-0.001824187570472053,0.001824187570472053
6,9,-0.00040601996919996386,-0.0016240798767998554,0.0016240798767998554
1,9,-0.0003697077020157107,-0.0014788308080628428,0.0014788308080628428
1,5,0.00026803754986338534,0.0010721501994535414,0.0010721501994535414
1,3,0.00018169998907558837,0.0007267999563023535,0.0007267999563023535
1,2,0.00017038511828594127,0.0006815404731437651,0.0006815404731437651
2,6,-0.0001446198414165505,-0.000578479365666202,0.000578479365666202
1,4,0.00014418096066527285,0.0005767238426610914,0.0005767238426610914
1,8,-0.00010591919748969159,-0.00042367678995876637,0.00042367678995876637
1,7,-7.852294697351537e-5,-0.0003140917878940615,0.0003140917878940615
1,6,-6.720761052258096e-5,-0.00026883044209032383,0.00026883044209032383
3,9,-5.4699482684207774e-5,-0.0002187979307368311,0.0002187979307368311
