order,mask,features,coefficient,abs_coefficient
1,8,4,-0.007885678785209727,0.007885678785209727
1,256,9,-0.006099874034811936,0.006099874034811936
1,64,7,-0.005253708103959628,0.005253708103959628
1,128,8,-0.003563775794868551,0.003563775794868551
2,192,7+8,-0.003258301524733373,0.003258301524733373
2,72,4+7,-0.0029617567754436254,0.0029617567754436254
1,4,3,-0.002881978053887559,0.002881978053887559
2,320,7+9,-0.0023192580531436885,0.0023192580531436885
2,384,8+9,-0.0022120758633215054,0.0022120758633215054
1,2,2,-0.002115607841228319,0.002115607841228319
2,12,3+4,-0.0018940939310092457,0.0018940939310092457
2,136,4+8,-0.0018279940097678422,0.0018279940097678422
3,200,4+7+8,-0.0016678102522242784,0.0016678102522242784
3,448,7+8+9,-0.0015969573262233222,0.0015969573262233222
3,196,3+7+8,-0.0015433671626348027,0.0015433671626348027
2,264,4+9,-0.001530852049877119,0.001530852049877119
1,32,6,-0.001469525389661261,0.001469525389661261
2,132,3+8,-0.001467730265398694,0.001467730265398694
2,68,3+7,-0.0013665062117475995,0.0013665062117475995
2,130,2+8,-0.0012432547493923434,0.0012432547493923434
2,144,5+8,-0.0012408696322787523,0.0012408696322787523
1,16,5,-0.0012295531316745996,0.0012295531316745996
2,6,2+3,-0.0011878692287106045,0.0011878692287106045
2,160,6+8,-0.001186678067137667,0.001186678067137667
2,80,5+7,-0.0011837050526488542,0.0011837050526488542
2,18,2+5,-0.001167032981579376,0.001167032981579376
2,66,2+7,-0.0010681833348322638,0.0010681833348322638
2,96,6+7,-0.0010592503215271915,0.0010592503215271915
3,140,3+4+8,-0.0010574663731355198,0.0010574663731355198
3,76,3+4+7,-0.0010026813226837643,0.0010026813226837643
4,204,3+4+7+8,-0.0010020880702037343,0.0010020880702037343
3,208,5+7+8,-0.0009758850767362832,0.0009758850767362832
3,224,6+7+8,-0.000935994435389706,0.000935994435389706
3,194,2+7+8,-0.0009079995772887,0.0009079995772887
3,328,4+7+9,-0.000846669890274477,0.000846669890274477
3,134,2+3+8,-0.0008037978525359162,0.0008037978525359162
2,258,2+9,-0.0007853427643973359,0.0007853427643973359
2,40,4+6,-0.0007829590442676067,0.0007829590442676067
2,36,3+6,-0.0007156674957919844,0.0007156674957919844
3,168,4+6+8,-0.0007013798433441638,0.0007013798433441638
3,386,2+8+9,-0.0006644608195025452,0.0006644608195025452
3,148,3+5+8,-0.0006620784963566788,0.0006620784963566788
2,272,5+9,-0.0006519517603415965,0.0006519517603415965
6,459,1+2+4+7+8+9,0.0006461580076169244,0.0006461580076169244
6,243,1+2+5+6+7+8,0.0006080506161700956,0.0006080506161700956
3,28,3+4+5,-0.0006001436824996003,0.0006001436824996003
5,283,1+2+4+5+9,0.0005955457479607336,0.0005955457479607336
3,104,4+6+7,-0.0005941920655865192,0.0005941920655865192
3,82,2+5+7,-0.0005935962519694098,0.0005935962519694098
3,152,4+5+8,-0.0005900264925409078,0.0005900264925409078
