order,energy,share_of_total_energy,share_of_nonconstant_energy,cumulative_share_of_nonconstant_energy
0,0.002510937374298339,0.07404046572604588,0.0,0.0
1,0.03087453197392534,0.9104029235543641,0.9831994702319385,0.9831994702319385
2,0.00037541768608866734,0.011070009393430936,0.011955176207684867,0.9951546464396234
3,9.332541061407394e-5,0.002751903307772223,0.0029719476995611837,0.9981265941391846
4,2.1569710653375705e-5,0.0006360299698029179,0.0006868874354230065,0.9988134815746076
5,8.148292341694115e-6,0.00024027017401005208,0.0002594823694951726,0.9990729639441027
6,5.6982728083384386e-6,0.00016802600370761483,0.0001814614974933696,0.999254425441596
7,6.3694929390835315e-6,0.00018781839343177178,0.0002028365025465615,0.9994572619441426
8,7.99158584761469e-6,0.0002356493411996843,0.00025449205119363797,0.9997117539953362
9,4.965068010487076e-6,0.0001464058608632891,0.0001581125907171377,0.9998698665860534
10,1.9231234730223424e-6,5.67074906163498e-5,6.124186696864048e-5,0.9999311084530221
11,9.447791804371535e-7,2.785887503362614e-5,3.008649298640282e-5,0.9999611949460085
12,4.5083833137565145e-7,1.3293951638891225e-5,1.4356946655681912e-5,0.9999755518926642
13,1.680091757107143e-7,4.954117033423214e-6,5.350252197908133e-6,0.9999809021448621
14,2.1855024582717195e-7,6.444430733804116e-6,6.9597325749847176e-6,0.999987861877437
15,3.811625865544742e-7,1.1239410315330463e-5,1.2138122562929596e-5,1.0
