feature_a,feature_b,coefficient,interaction_effect,abs_interaction_effect
5,7,-0.010084615031183975,-0.0403384601247359,0.0403384601247359
5,6,-0.008446859436327402,-0.03378743774530961,0.03378743774530961
6,7,-0.007732210972273067,-0.03092884388909227,0.03092884388909227
1,7,-0.007646482263618425,-0.0305859290544737,0.0305859290544737
7,8,-0.0056450734340900525,-0.02258029373636021,0.02258029373636021
7,10,-0.003531432958362901,-0.014125731833451604,0.014125731833451604
6,8,-0.002694677430946657,-0.010778709723786629,0.010778709723786629
5,8,-0.0021297904462984738,-0.008519161785193895,0.008519161785193895
1,5,-0.0019312234875828015,-0.007724893950331206,0.007724893950331206
1,8,-0.0018630559429142607,-0.007452223771657043,0.007452223771657043
8,10,-0.0016547446070320875,-0.00661897842812835,0.00661897842812835
7,14,-0.0013918888802722075,-0.00556755552108883,0.00556755552108883
1,6,-0.0013846690784988906,-0.005538676313995562,0.005538676313995562
2,6,-0.0013645367147832159,-0.0054581468591328635,0.0054581468591328635
7,13,0.001259338575954272,0.005037354303817088,0.005037354303817088
7,9,-0.0011281130213605217,-0.004512452085442087,0.004512452085442087
2,5,-0.0009016932603402979,-0.0036067730413611916,0.0036067730413611916
9,10,-0.0008465265204280581,-0.0033861060817122323,0.0033861060817122323
10,14,0.0008425282208632725,0.00337011288345309,0.00337011288345309
1,10,-0.000784380973010601,-0.003137523892042404,0.003137523892042404
10,13,0.0007012672572896854,0.0028050690291587417,0.0028050690291587417
6,10,-0.0006991935010150048,-0.0027967740040600194,0.0027967740040600194
2,8,0.0006656117980752158,0.0026624471923008632,0.0026624471923008632
11,12,-0.0006015382281761121,-0.0024061529127044484,0.0024061529127044484
8,15,0.0005928012865921081,0.0023712051463684325,0.0023712051463684325
7,11,-0.0005672561423411104,-0.0022690245693644416,0.0022690245693644416
7,12,-0.0005474331341532968,-0.0021897325366131873,0.0021897325366131873
8,14,0.0005237572254996794,0.0020950289019987176,0.0020950289019987176
6,13,-0.0004936473564443149,-0.0019745894257772595,0.0019745894257772595
9,14,0.0004847833257086622,0.0019391333028346489,0.0019391333028346489
2,4,0.0004420733053562712,0.0017682932214250849,0.0017682932214250849
4,8,0.00042492603421905294,0.0016997041368762118,0.0016997041368762118
3,8,-0.0004135472922202181,-0.0016541891688808723,0.0016541891688808723
6,9,-0.00039802779104448644,-0.0015921111641779458,0.0015921111641779458
3,6,-0.00039010507355797825,-0.001560420294231913,0.001560420294231913
3,7,0.00036921285170009527,0.001476851406800381,0.001476851406800381
10,15,0.0003608353395689809,0.0014433413582759236,0.0014433413582759236
5,13,-0.0003592375509755656,-0.0014369502039022625,0.0014369502039022625
2,3,0.0003360969709034093,0.0013443878836136372,0.0013443878836136372
13,14,0.0003313800912734151,0.0013255203650936603,0.0013255203650936603
3,5,-0.00033031587411770457,-0.0013212634964708183,0.0013212634964708183
1,9,-0.00031711845843475134,-0.0012684738337390053,0.0012684738337390053
1,2,0.0002950101402971909,0.0011800405611887637,0.0011800405611887637
2,7,0.00028990852258047246,0.0011596340903218898,0.0011596340903218898
3,10,0.0002880343450384238,0.001152137380153695,0.001152137380153695
4,10,0.0002723672401485522,0.001089468960594209,0.001089468960594209
1,3,-0.00026828759330911405,-0.0010731503732364562,0.0010731503732364562
6,11,-0.0002649407001003134,-0.0010597628004012536,0.0010597628004012536
12,15,-0.00024814277679198124,-0.000992571107167925,0.000992571107167925
6,12,-0.00022619981648986862,-0.0009047992659594745,0.0009047992659594745
6,14,0.00021055462236162573,0.0008422184894465029,0.0008422184894465029
1,11,-0.00020754521795552923,-0.0008301808718221169,0.0008301808718221169
1,14,0.00020631029435079842,0.0008252411774031937,0.0008252411774031937
1,12,-0.00020615350552489684,-0.0008246140220995873,0.0008246140220995873
5,12,-0.00020543325848066882,-0.0008217330339226753,0.0008217330339226753
6,15,-0.0001993801164930191,-0.0007975204659720764,0.0007975204659720764
3,4,-0.00018930733897960572,-0.0007572293559184229,0.0007572293559184229
2,14,-0.00018746768949441314,-0.0007498707579776526,0.0007498707579776526
11,15,-0.00018001374012911395,-0.0007200549605164558,0.0007200549605164558
2,11,-0.00017873045401884942,-0.0007149218160753977,0.0007149218160753977
5,10,0.0001701493743608729,0.0006805974974434916,0.0006805974974434916
5,15,-0.00016057085707089566,-0.0006422834282835826,0.0006422834282835826
5,14,-0.0001583425550337851,-0.0006333702201351404,0.0006333702201351404
13,15,0.0001580929052293796,0.0006323716209175184,0.0006323716209175184
3,14,-0.00015643502450203225,-0.000625740098008129,0.000625740098008129
2,12,-0.00014785223941672296,-0.0005914089576668918,0.0005914089576668918
8,9,-0.00014770689488742203,-0.0005908275795496881,0.0005908275795496881
1,13,0.00014391213296093344,0.0005756485318437338,0.0005756485318437338
2,15,0.0001426097329100158,0.0005704389316400632,0.0005704389316400632
7,15,-0.00014163287817737895,-0.0005665315127095158,0.0005665315127095158
14,15,0.00014004919973430174,0.000560196798937207,0.000560196798937207
4,6,-0.0001341703504580522,-0.0005366814018322088,0.0005366814018322088
4,15,-0.00012211207688906864,-0.0004884483075562746,0.0004884483075562746
5,11,-0.00012155822008154144,-0.00048623288032616577,0.00048623288032616577
4,13,0.0001211423764912907,0.0004845695059651628,0.0004845695059651628
1,15,-0.00011962145475209393,-0.0004784858190083757,0.0004784858190083757
4,9,-0.00010752536439341315,-0.0004301014575736526,0.0004301014575736526
3,15,-0.00010529638933022209,-0.00042118555732088836,0.00042118555732088836
5,9,8.721812588973203e-5,0.00034887250355892813,0.00034887250355892813
11,13,8.375400245185308e-5,0.0003350160098074123,0.0003350160098074123
9,13,8.215827944567811e-5,0.00032863311778271245,0.00032863311778271245
8,13,-7.84370862960777e-5,-0.0003137483451843108,0.0003137483451843108
8,11,7.714712734795473e-5,0.0003085885093918189,0.0003085885093918189
3,11,-7.661864622733323e-5,-0.00030647458490933293,0.00030647458490933293
11,14,-7.478896844205149e-5,-0.00029915587376820596,0.00029915587376820596
10,11,-7.47303751553836e-5,-0.0002989215006215344,0.0002989215006215344
4,5,7.003404932092102e-5,0.0002801361972836841,0.0002801361972836841
12,14,-6.740276915607676e-5,-0.00026961107662430706,0.00026961107662430706
9,11,-6.114587125139901e-5,-0.00024458348500559605,0.00024458348500559605
9,12,-6.072739818719763e-5,-0.0002429095927487905,0.0002429095927487905
12,13,5.3304989313430334e-5,0.00021321995725372134,0.00021321995725372134
9,15,-5.305892084962044e-5,-0.00021223568339848176,0.00021223568339848176
10,12,-4.934136853208381e-5,-0.00019736547412833524,0.00019736547412833524
