order,mask,features,coefficient,abs_coefficient
1,8,4,0.050453623735273664,0.050453623735273664
1,16384,15,0.05042671615262277,0.05042671615262277
1,8192,14,0.04999027255359449,0.04999027255359449
1,4,3,0.049360929395669315,0.049360929395669315
1,1024,11,0.049174202868351655,0.049174202868351655
1,2048,12,0.04909994287697243,0.04909994287697243
1,256,9,0.04874220707676485,0.04874220707676485
1,4096,13,0.04855688794884243,0.04855688794884243
1,2,2,0.04659049959115562,0.04659049959115562
1,512,10,0.04546236595012359,0.04546236595012359
1,128,8,0.04502267082386296,0.04502267082386296
1,32,6,0.04105615845434711,0.04105615845434711
1,1,1,0.04074623351731914,0.04074623351731914
1,16,5,0.03896280250443722,0.03896280250443722
1,64,7,-0.012633081849009074,0.012633081849009074
2,80,5+7,-0.010084615031183975,0.010084615031183975
2,48,5+6,-0.008446859436327402,0.008446859436327402
2,96,6+7,-0.007732210972273067,0.007732210972273067
2,65,1+7,-0.007646482263618425,0.007646482263618425
3,112,5+6+7,-0.006906816423389872,0.006906816423389872
2,192,7+8,-0.0056450734340900525,0.0056450734340900525
2,576,7+10,-0.003531432958362901,0.003531432958362901
2,160,6+8,-0.002694677430946657,0.002694677430946657
3,176,5+6+8,-0.0024336239734397244,0.0024336239734397244
3,224,6+7+8,-0.0023616126640548904,0.0023616126640548904
3,81,1+5+7,-0.0022974132156663553,0.0022974132156663553
4,240,5+6+7+8,-0.0022006752919254816,0.0022006752919254816
2,144,5+8,-0.0021297904462984738,0.0021297904462984738
3,208,5+7+8,-0.0019380247835501074,0.0019380247835501074
2,17,1+5,-0.0019312234875828015,0.0019312234875828015
2,129,1+8,-0.0018630559429142607,0.0018630559429142607
4,113,1+5+6+7,-0.0017474733617122273,0.0017474733617122273
2,640,8+10,-0.0016547446070320875,0.0016547446070320875
3,97,1+6+7,-0.0016505882890045622,0.0016505882890045622
3,49,1+5+6,-0.0016024571381707655,0.0016024571381707655
2,8256,7+14,-0.0013918888802722075,0.0013918888802722075
2,33,1+6,-0.0013846690784988906,0.0013846690784988906
2,34,2+6,-0.0013645367147832159,0.0013645367147832159
3,704,7+8+10,-0.0012603924628196257,0.0012603924628196257
2,4160,7+13,0.001259338575954272,0.001259338575954272
3,98,2+6+7,-0.0012533452758647476,0.0012533452758647476
2,320,7+9,-0.0011281130213605217,0.0011281130213605217
3,193,1+7+8,-0.0010671877320704956,0.0010671877320704956
4,114,2+5+6+7,-0.0009658797793521533,0.0009658797793521533
3,50,2+5+6,-0.0009636439430609324,0.0009636439430609324
2,18,2+5,-0.0009016932603402979,0.0009016932603402979
3,82,2+5+7,-0.0008666005600674986,0.0008666005600674986
3,4161,1+7+13,-0.0008574429597787534,0.0008574429597787534
4,609,1+6+7+10,-0.0008470124088775355,0.0008470124088775355
2,768,9+10,-0.0008465265204280581,0.0008465265204280581
