order,energy,share_of_total_energy,share_of_nonconstant_energy,cumulative_share_of_nonconstant_energy
0,0.6402114466776808,0.992583364072194,0.0,0.0
1,0.004268307465197932,0.006617580808163207,0.8922617845313421,0.8922617845313421
2,0.00037269339167073773,0.0005778235649983002,0.07790911818011456,0.9701709027114567
3,9.115745714958932e-5,0.00014133045566015905,0.019055870752708336,0.9892267734641651
4,1.94267405892022e-5,3.0119204564450964e-5,0.0040610331769867485,0.9932878066411519
5,7.96889544553719e-6,1.235496973744853e-5,0.0016658455204911,0.9949536521616429
6,6.722683996249016e-6,1.042284440745189e-5,0.0014053331603315698,0.9963589853219745
7,4.749109096869488e-6,7.363015310299218e-6,0.0009927702238550658,0.9973517555458296
8,4.047180249279474e-6,6.2747453324726824e-6,0.000846036584989701,0.9981977921308193
9,3.152877224119665e-6,4.88821856882366e-6,0.0006590883813640126,0.9988568805121834
10,2.7928305114786206e-6,4.330002405849764e-6,0.000583822968795885,0.9994407034809792
11,1.5156476327021254e-6,2.349858993966001e-6,0.0003168362336832711,0.9997575397146625
12,3.3722039590794907e-7,5.228262580137624e-7,7.049372021264156e-5,0.9998280334348751
13,1.1632587222671793e-7,1.803515481996039e-7,2.4317163462675498e-5,0.9998523505983378
14,2.963606455060962e-7,4.594773305313085e-7,6.195225638738458e-5,0.999914302854725
15,4.0994893120387885e-7,6.355845265556578e-7,8.56971452748255e-5,1.0
