feature_a,feature_b,coefficient,interaction_effect,abs_interaction_effect
5,7,-0.010061726149076976,-0.040246904596307906,0.040246904596307906
5,6,-0.008423970554220405,-0.03369588221688162,0.03369588221688162
6,7,-0.007709322090166071,-0.030837288360664284,0.030837288360664284
1,7,-0.007623593381511429,-0.030494373526045716,0.030494373526045716
7,8,-0.005622184551983056,-0.022488738207932225,0.022488738207932225
7,10,-0.003508544076255904,-0.014034176305023616,0.014034176305023616
6,8,-0.00267178854883966,-0.01068715419535864,0.01068715419535864
5,8,-0.002106901564191477,-0.008427606256765908,0.008427606256765908
1,5,-0.0019083346054758034,-0.007633338421903214,0.007633338421903214
1,8,-0.001840167060807263,-0.007360668243229052,0.007360668243229052
8,10,-0.001631855724925091,-0.006527422899700364,0.006527422899700364
7,14,-0.0013689999981652094,-0.005475999992660838,0.005475999992660838
1,6,-0.0013617801963918931,-0.0054471207855675725,0.0054471207855675725
2,6,-0.0013416478326762184,-0.005366591330704874,0.005366591330704874
7,13,0.001282227458061269,0.005128909832245076,0.005128909832245076
7,9,-0.0011052241392535246,-0.004420896557014099,0.004420896557014099
2,5,-0.0008788043782333001,-0.0035152175129332004,0.0035152175129332004
10,14,0.000865417102970268,0.003461668411881072,0.003461668411881072
9,10,-0.0008236376383210621,-0.0032945505532842485,0.0032945505532842485
1,10,-0.000761492090903604,-0.003045968363614416,0.003045968363614416
10,13,0.0007241561393966818,0.002896624557586727,0.002896624557586727
2,8,0.0006885006801822134,0.0027540027207288535,0.0027540027207288535
6,10,-0.0006763046189080081,-0.0027052184756320326,0.0027052184756320326
8,15,0.000615690168699101,0.002462760674796404,0.002462760674796404
11,12,-0.0005786493460691149,-0.0023145973842764594,0.0023145973842764594
8,14,0.000546646107606674,0.002186584430426696,0.002186584430426696
7,11,-0.0005443672602341134,-0.0021774690409364535,0.0021774690409364535
7,12,-0.0005245442520462997,-0.0020981770081851987,0.0020981770081851987
9,14,0.0005076722078156569,0.0020306888312626274,0.0020306888312626274
6,13,-0.0004707584743373185,-0.001883033897349274,0.001883033897349274
2,4,0.000464962187463269,0.001859848749853076,0.001859848749853076
4,8,0.0004478149163260501,0.0017912596653042003,0.0017912596653042003
3,7,0.0003921017338070929,0.0015684069352283716,0.0015684069352283716
3,8,-0.00039065841011322067,-0.0015626336404528827,0.0015626336404528827
10,15,0.00038372422167597467,0.0015348968867038987,0.0015348968867038987
6,9,-0.0003751389089374892,-0.0015005556357499568,0.0015005556357499568
3,6,-0.00036721619145098106,-0.0014688647658039242,0.0014688647658039242
2,3,0.0003589858530104071,0.0014359434120416283,0.0014359434120416283
13,14,0.00035426897338040886,0.0014170758935216354,0.0014170758935216354
5,13,-0.00033634866886856924,-0.001345394675474277,0.001345394675474277
1,2,0.00031789902240418865,0.0012715960896167546,0.0012715960896167546
2,7,0.0003127974046874702,0.0012511896187498807,0.0012511896187498807
3,10,0.00031092322714542075,0.001243692908581683,0.001243692908581683
3,5,-0.0003074269920107067,-0.0012297079680428267,0.0012297079680428267
4,10,0.0002952561222555492,0.0011810244890221968,0.0011810244890221968
1,9,-0.0002942295763277538,-0.0011769183053110153,0.0011769183053110153
1,3,-0.0002453987112021163,-0.0009815948448084653,0.0009815948448084653
6,11,-0.00024205181799331638,-0.0009682072719732655,0.0009682072719732655
6,14,0.0002334435044686221,0.0009337740178744884,0.0009337740178744884
1,14,0.0002291991764577948,0.0009167967058311792,0.0009167967058311792
12,15,-0.00022525389468498747,-0.0009010155787399499,0.0009010155787399499
6,12,-0.00020331093438287224,-0.000813243737531489,0.000813243737531489
5,10,0.00019303825646786987,0.0007721530258714795,0.0007721530258714795
1,11,-0.00018465633584853225,-0.000738625343394129,0.000738625343394129
1,12,-0.00018326462341790046,-0.0007330584936716018,0.0007330584936716018
5,12,-0.00018254437637367244,-0.0007301775054946898,0.0007301775054946898
13,15,0.00018098178733637338,0.0007239271493454935,0.0007239271493454935
6,15,-0.00017649123438602272,-0.0007059649375440909,0.0007059649375440909
1,13,0.00016680101506792982,0.0006672040602717193,0.0006672040602717193
3,4,-0.00016641845687260815,-0.0006656738274904326,0.0006656738274904326
2,15,0.00016549861501701218,0.0006619944600680487,0.0006619944600680487
2,14,-0.00016457880738741677,-0.0006583152295496671,0.0006583152295496671
14,15,0.00016293808184131287,0.0006517523273652515,0.0006517523273652515
11,15,-0.0001571248580221167,-0.0006284994320884668,0.0006284994320884668
2,11,-0.00015584157191185244,-0.0006233662876474098,0.0006233662876474098
4,13,0.00014403125859828702,0.0005761250343931481,0.0005761250343931481
5,15,-0.00013768197496389929,-0.0005507278998555971,0.0005507278998555971
5,14,-0.00013545367292678873,-0.0005418146917071549,0.0005418146917071549
3,14,-0.00013354614239503593,-0.0005341845695801437,0.0005341845695801437
2,12,-0.00012496335730972664,-0.0004998534292389065,0.0004998534292389065
8,9,-0.00012481801278042565,-0.0004992720511217026,0.0004992720511217026
7,15,-0.00011874399607038344,-0.00047497598428153376,0.00047497598428153376
4,6,-0.00011128146835105457,-0.0004451258734042183,0.0004451258734042183
5,9,0.000110107007996729,0.000440428031986916,0.000440428031986916
11,13,0.00010664288455885032,0.0004265715382354013,0.0004265715382354013
9,13,0.00010504716155267362,0.0004201886462106945,0.0004201886462106945
8,11,0.0001000360094549511,0.0004001440378198044,0.0004001440378198044
4,15,-9.922319478207232e-5,-0.00039689277912828926,0.00039689277912828926
5,11,-9.866933797454425e-5,-0.000394677351898177,0.000394677351898177
1,15,-9.673257264509755e-5,-0.0003869302905803902,0.0003869302905803902
4,5,9.292293142791874e-5,0.00037169172571167495,0.00037169172571167495
4,9,-8.463648228641563e-5,-0.00033854592914566253,0.00033854592914566253
3,15,-8.240750722322577e-5,-0.00032963002889290307,0.00032963002889290307
12,13,7.619387142042411e-5,0.00030477548568169643,0.00030477548568169643
4,12,7.222393068516663e-5,0.0002888957227406665,0.0002888957227406665
4,11,6.289122356249987e-5,0.0002515648942499995,0.0002515648942499995
8,13,-5.554820418908219e-5,-0.00022219281675632876,0.00022219281675632876
8,12,5.524303523273249e-5,0.00022097214093092996,0.00022097214093092996
3,11,-5.372976412033626e-5,-0.00021491905648134504,0.00021491905648134504
11,14,-5.1900086335054246e-5,-0.00020760034534021699,0.00020760034534021699
10,11,-5.184149304838723e-5,-0.0002073659721935489,0.0002073659721935489
2,10,4.900385792282446e-5,0.00019601543169129785,0.00019601543169129785
2,9,4.898443839195221e-5,0.00019593775356780885,0.00019593775356780885
2,13,4.571417920672371e-5,0.00018285671682689484,0.00018285671682689484
12,14,-4.451388704908299e-5,-0.00017805554819633196,0.00017805554819633196
9,11,-3.825698914440307e-5,-0.00015302795657761228,0.00015302795657761228
9,12,-3.783851608020212e-5,-0.00015135406432080847,0.00015135406432080847
1,4,3.673308273576236e-5,0.00014693233094304945,0.00014693233094304945
4,14,3.2276107587702935e-5,0.00012910443035081174,0.00012910443035081174
9,15,-3.0170038742627532e-5,-0.00012068015497051013,0.00012068015497051013
10,12,-2.6452486425087435e-5,-0.00010580994570034974,0.00010580994570034974
3,9,2.2388186691413064e-5,8.955274676565226e-5,8.955274676565226e-5
3,12,-1.7012950054751347e-5,-6.805180021900539e-5,6.805180021900539e-5
4,7,-1.2974266071952517e-5,-5.189706428781007e-5,5.189706428781007e-5
3,13,-7.097733757422406e-8,-2.8390935029689625e-7,2.8390935029689625e-7
