order,mask,features,coefficient,abs_coefficient
1,64,7,-0.06261019296690208,0.06261019296690208
1,16,5,-0.01101430861345577,0.01101430861345577
2,80,5+7,-0.010061726149076976,0.010061726149076976
1,1,1,-0.00923087760057385,0.00923087760057385
1,32,6,-0.008920952663545877,0.008920952663545877
2,48,5+6,-0.008423970554220405,0.008423970554220405
2,96,6+7,-0.007709322090166071,0.007709322090166071
2,65,1+7,-0.007623593381511429,0.007623593381511429
3,112,5+6+7,-0.006883927541282875,0.006883927541282875
2,192,7+8,-0.005622184551983056,0.005622184551983056
1,128,8,-0.004954440294030038,0.004954440294030038
1,512,10,-0.004514745167769407,0.004514745167769407
2,576,7+10,-0.003508544076255904,0.003508544076255904
1,2,2,-0.003386611526737371,0.003386611526737371
2,160,6+8,-0.00267178854883966,0.00267178854883966
3,176,5+6+8,-0.0024107350913327276,0.0024107350913327276
3,224,6+7+8,-0.0023387237819478936,0.0023387237819478936
3,81,1+5+7,-0.002274524333559358,0.002274524333559358
4,240,5+6+7+8,-0.002177786409818483,0.002177786409818483
2,144,5+8,-0.002106901564191477,0.002106901564191477
3,208,5+7+8,-0.0019151359014431104,0.0019151359014431104
2,17,1+5,-0.0019083346054758034,0.0019083346054758034
2,129,1+8,-0.001840167060807263,0.001840167060807263
4,113,1+5+6+7,-0.0017245844796052292,0.0017245844796052292
2,640,8+10,-0.001631855724925091,0.001631855724925091
3,97,1+6+7,-0.001627699406897565,0.001627699406897565
3,49,1+5+6,-0.0015795682560637682,0.0015795682560637682
1,4096,13,-0.0014202231690505634,0.0014202231690505634
2,8256,7+14,-0.0013689999981652094,0.0013689999981652094
2,33,1+6,-0.0013617801963918931,0.0013617801963918931
2,34,2+6,-0.0013416478326762184,0.0013416478326762184
2,4160,7+13,0.001282227458061269,0.001282227458061269
3,704,7+8+10,-0.001237503580712629,0.001237503580712629
1,256,9,-0.0012349040411281488,0.0012349040411281488
3,98,2+6+7,-0.0012304563937577508,0.0012304563937577508
2,320,7+9,-0.0011052241392535246,0.0011052241392535246
3,193,1+7+8,-0.0010442988499634988,0.0010442988499634988
4,114,2+5+6+7,-0.0009429908972451552,0.0009429908972451552
3,50,2+5+6,-0.0009407550609539352,0.0009407550609539352
2,18,2+5,-0.0008788043782333001,0.0008788043782333001
1,2048,12,-0.0008771682409205589,0.0008771682409205589
2,8704,10+14,0.000865417102970268,0.000865417102970268
3,82,2+5+7,-0.0008437116779605016,0.0008437116779605016
3,4161,1+7+13,-0.0008345540776717566,0.0008345540776717566
4,609,1+6+7+10,-0.0008241235267705373,0.0008241235267705373
2,768,9+10,-0.0008236376383210621,0.0008236376383210621
1,1024,11,-0.0008029082495413335,0.0008029082495413335
3,67,1+2+7,-0.0007785499114179141,0.0007785499114179141
2,513,1+10,-0.000761492090903604,0.000761492090903604
3,832,7+9+10,-0.0007403352869077675,0.0007403352869077675
