order,energy,share_of_total_energy,share_of_nonconstant_energy,cumulative_share_of_nonconstant_energy
0,0.004097392660612341,0.12524682183426952,0.0,0.0
1,0.026953803873033345,0.8239088979422192,0.9418758553925728,0.9418758553925728
2,0.000956085567011177,0.02922509229366114,0.033409529708646746,0.9752853851012195
3,0.00035328300252013696,0.01079895849354666,0.012345149195331863,0.9876305342965513
4,0.0001522001116125519,0.0046523684306703445,0.005318492743777042,0.9929490270403284
5,7.519192730573374e-5,0.00229842504799849,0.002627512657705406,0.9955765396980338
6,3.774259186617366e-5,0.0011536945737389366,0.0013188801167411796,0.996895419814775
7,2.5710187003757344e-5,0.0007858947085886839,0.0008984188091052449,0.9977938386238803
8,2.1978023574272246e-5,0.0006718120109252291,0.0007680017948993923,0.9985618404187797
9,1.7850947172746458e-5,0.0005456578329946548,0.0006237849105491041,0.9991856253293288
10,1.27005468958676e-5,0.00038822325952689855,0.00044380891572290556,0.9996294342450517
11,6.753475164748895e-6,0.0002064364757745867,0.00023599397055917327,0.9998654282156109
12,2.8420691493340923e-6,8.687479035365968e-5,9.931348924713527e-5,0.999964741704858
13,8.257243191942506e-7,2.524028211513664e-5,2.885417594945236e-5,0.9999935958808075
14,1.5848017995258997e-7,4.84433406971023e-6,5.537943948792859e-6,0.9999991338247562
15,2.4413564440694076e-8,7.462602706439424e-7,8.531095276598766e-7,0.9999999869342839
16,3.739035758701561e-10,1.1429276720383226e-8,1.3065716142179979e-8,1.0
