feature_a,feature_b,coefficient,interaction_effect,abs_interaction_effect
13,14,-0.010682520320781534,-0.04273008128312614,0.04273008128312614
13,16,-0.009335519859316901,-0.037342079437267604,0.037342079437267604
8,9,-0.00916551176183266,-0.03666204704733064,0.03666204704733064
3,8,-0.009122151872045561,-0.036488607488182244,0.036488607488182244
9,15,-0.00849085355789857,-0.03396341423159428,0.03396341423159428
14,16,-0.007128020105167433,-0.02851208042066973,0.02851208042066973
3,4,-0.006985540552389195,-0.02794216220955678,0.02794216220955678
4,15,-0.005219844394244045,-0.02087937757697618,0.02087937757697618
4,5,-0.00516014646896356,-0.02064058587585424,0.02064058587585424
4,12,-0.004922681935252241,-0.019690727741008964,0.019690727741008964
7,8,-0.004674376910454796,-0.018697507641819183,0.018697507641819183
3,15,-0.0045335523424479985,-0.018134209369791994,0.018134209369791994
7,12,-0.004370568810056921,-0.017482275240227683,0.017482275240227683
5,7,-0.00436726141802201,-0.01746904567208804,0.01746904567208804
8,15,-0.003989353021691115,-0.01595741208676446,0.01595741208676446
4,8,-0.003759676505662994,-0.015038706022651976,0.015038706022651976
7,9,-0.0036375120177151096,-0.014550048070860438,0.014550048070860438
4,9,-0.0036061042561893394,-0.014424417024757358,0.014424417024757358
7,13,-0.003588429024287236,-0.014353716097148944,0.014353716097148944
9,14,-0.0033437494209035347,-0.013374997683614139,0.013374997683614139
4,7,-0.00325988786576336,-0.01303955146305344,0.01303955146305344
5,11,-0.0032221540156139802,-0.012888616062455921,0.012888616062455921
3,9,-0.003188618936885816,-0.012754475747543265,0.012754475747543265
15,16,-0.0030425465598934373,-0.01217018623957375,0.01217018623957375
5,9,-0.003027511114535356,-0.012110044458141424,0.012110044458141424
9,13,-0.002731936820648756,-0.010927747282595024,0.010927747282595024
7,14,-0.0027129577589700615,-0.010851831035880246,0.010851831035880246
4,16,-0.002676874909095843,-0.010707499636383372,0.010707499636383372
7,16,-0.002612470768920235,-0.01044988307568094,0.01044988307568094
9,12,-0.0025635807666300947,-0.010254323066520379,0.010254323066520379
11,15,0.0025609862480880964,0.010243944992352386,0.010243944992352386
7,11,-0.002386006254394217,-0.009544025017576868,0.009544025017576868
7,15,-0.0022591361827405346,-0.009036544730962139,0.009036544730962139
3,11,-0.002238217034257743,-0.008952868137030973,0.008952868137030973
7,10,-0.0020240535292511607,-0.008096214117004643,0.008096214117004643
3,5,-0.001974717934583807,-0.007898871738335228,0.007898871738335228
4,13,-0.0019245847676326803,-0.007698339070530721,0.007698339070530721
10,11,-0.0018732472932722001,-0.0074929891730888005,0.0074929891730888005
14,15,-0.0018560183113119858,-0.007424073245247943,0.007424073245247943
13,15,-0.0018382782497180453,-0.007353112998872181,0.007353112998872181
3,7,-0.0016620725315558064,-0.006648290126223226,0.006648290126223226
12,15,-0.0016003701199703776,-0.006401480479881511,0.006401480479881511
9,16,-0.0015869869045242978,-0.006347947618097191,0.006347947618097191
5,8,-0.0015853330147844662,-0.006341332059137865,0.006341332059137865
10,15,0.0014982112355458373,0.005992844942183349,0.005992844942183349
4,6,-0.0014576048494315747,-0.005830419397726299,0.005830419397726299
1,7,0.0014146385877641457,0.005658554351056583,0.005658554351056583
12,14,-0.001409443851710151,-0.005637775406840604,0.005637775406840604
12,16,-0.0013247263756536107,-0.005298905502614443,0.005298905502614443
8,14,-0.0012468426454258423,-0.004987370581703369,0.004987370581703369
1,4,0.0011421419415885772,0.004568567766354309,0.004568567766354309
6,15,-0.0011342773219918875,-0.00453710928796755,0.00453710928796755
5,12,-0.0011145678805884946,-0.004458271522353978,0.004458271522353978
4,14,-0.0011137095777055076,-0.0044548383108220305,0.0044548383108220305
8,16,-0.0010849409633489834,-0.004339763853395934,0.004339763853395934
3,12,-0.0010578558982640082,-0.004231423593056033,0.004231423593056033
5,15,-0.0009588652170829867,-0.003835460868331947,0.003835460868331947
12,13,-0.0009507274404792986,-0.0038029097619171944,0.0038029097619171944
2,12,0.0009212722264667699,0.0036850889058670797,0.0036850889058670797
11,12,-0.0009102593145623389,-0.0036410372582493557,0.0036410372582493557
11,16,-0.0008676926624072642,-0.003470770649629057,0.003470770649629057
