order,mask,features,coefficient,abs_coefficient
1,32,6,0.05477322339006358,0.05477322339006358
1,512,10,0.05336226388239747,0.05336226388239747
1,2,2,0.052757602509834474,0.052757602509834474
1,1,1,0.05064537530247188,0.05064537530247188
1,2048,12,0.04548329718195172,0.04548329718195172
1,1024,11,0.040670331584940225,0.040670331584940225
1,32768,16,0.03999588963428987,0.03999588963428987
1,8192,14,0.03962049389715257,0.03962049389715257
1,16,5,0.03956079380181771,0.03956079380181771
1,4,3,0.0352260947339776,0.0352260947339776
1,4096,13,0.03333012716588864,0.03333012716588864
1,256,9,0.032830529686313906,0.032830529686313906
1,64,7,0.03214448848225156,0.03214448848225156
1,8,4,0.032125156298340965,0.032125156298340965
1,16384,15,0.030789666250845858,0.030789666250845858
1,128,8,0.0292850562238048,0.0292850562238048
2,12288,13+14,-0.010682520320781534,0.010682520320781534
2,36864,13+16,-0.009335519859316901,0.009335519859316901
2,384,8+9,-0.00916551176183266,0.00916551176183266
2,132,3+8,-0.009122151872045561,0.009122151872045561
2,16640,9+15,-0.00849085355789857,0.00849085355789857
3,45056,13+14+16,-0.007554121028672579,0.007554121028672579
2,40960,14+16,-0.007128020105167433,0.007128020105167433
2,12,3+4,-0.006985540552389195,0.006985540552389195
2,16392,4+15,-0.005219844394244045,0.005219844394244045
2,24,4+5,-0.00516014646896356,0.00516014646896356
2,2056,4+12,-0.004922681935252241,0.004922681935252241
2,192,7+8,-0.004674376910454796,0.004674376910454796
2,16388,3+15,-0.0045335523424479985,0.0045335523424479985
2,2112,7+12,-0.004370568810056921,0.004370568810056921
2,80,5+7,-0.00436726141802201,0.00436726141802201
3,16516,3+8+15,-0.004323139489909135,0.004323139489909135
2,16512,8+15,-0.003989353021691115,0.003989353021691115
2,136,4+8,-0.003759676505662994,0.003759676505662994
2,320,7+9,-0.0036375120177151096,0.0036375120177151096
2,264,4+9,-0.0036061042561893394,0.0036061042561893394
2,4160,7+13,-0.003588429024287236,0.003588429024287236
2,8448,9+14,-0.0033437494209035347,0.0033437494209035347
3,88,4+5+7,-0.003290851293652577,0.003290851293652577
2,72,4+7,-0.00325988786576336,0.00325988786576336
2,1040,5+11,-0.0032221540156139802,0.0032221540156139802
2,260,3+9,-0.003188618936885816,0.003188618936885816
2,49152,15+16,-0.0030425465598934373,0.0030425465598934373
2,272,5+9,-0.003027511114535356,0.003027511114535356
3,140,3+4+8,-0.003011870541424924,0.003011870541424924
3,12352,7+13+14,-0.0028253630495352795,0.0028253630495352795
2,4352,9+13,-0.002731936820648756,0.002731936820648756
2,8256,7+14,-0.0027129577589700615,0.0027129577589700615
2,32776,4+16,-0.002676874909095843,0.002676874909095843
3,2120,4+7+12,-0.002629891793415209,0.002629891793415209
