feature,coefficient,main_effect,abs_main_effect
8,-0.02070273655867784,0.04140547311735568,0.04140547311735568
15,-0.019198126531636772,0.038396253063273544,0.038396253063273544
4,-0.017862636484141672,0.035725272968283345,0.035725272968283345
7,-0.01784330430023108,0.03568660860046216,0.03568660860046216
9,-0.01715726309616873,0.03431452619233746,0.03431452619233746
13,-0.016657665616594,0.033315331233188,0.033315331233188
3,-0.014761698048505037,0.029523396097010074,0.029523396097010074
5,-0.010426998980664917,0.020853997961329834,0.020853997961329834
14,-0.01036729888533007,0.02073459777066014,0.02073459777066014
16,-0.00999190314819276,0.01998380629638552,0.01998380629638552
11,-0.009317461197542412,0.018634922395084824,0.018634922395084824
6,0.00478543060758095,-0.0095708612151619,0.0095708612151619
12,-0.004504495600530914,0.009008991201061828,0.009008991201061828
10,0.0033744710999148294,-0.006748942199829659,0.006748942199829659
2,0.0027698097273518426,-0.005539619454703685,0.005539619454703685
1,0.0006575825199892492,-0.0013151650399784985,0.0013151650399784985
