order,energy,share_of_total_energy,share_of_nonconstant_energy,cumulative_share_of_nonconstant_energy
0,0.746535893925291,0.9942103561467842,0.0,0.0
1,0.002689924432105424,0.0035823471442072465,0.6187508653433871,0.6187508653433871
2,0.0009519053955469336,0.001267714265349808,0.2189623917273749,0.8377132570707619
3,0.00035015372676096317,0.0004663224691832158,0.08054424089043204,0.918257497961194
4,0.00015100680132359903,0.0002011055689969898,0.03473539549160535,0.9529928934527994
5,7.534226686866121e-5,0.00010033819215649649,0.017330632885262206,0.9703235263380615
6,3.8573641230606324e-5,5.137102435103713e-5,0.008872916133261693,0.9791964424713231
7,2.6403358338837e-5,3.516306785933765e-5,0.006073442296421598,0.9852698847677448
8,2.248210506630889e-5,2.9940880092687463e-5,0.005171454557788996,0.9904413393255338
9,1.804477692918641e-5,2.403140189686721e-5,0.0041507565069861,0.99459209583252
10,1.2760420090750167e-5,1.6993880543775835e-5,0.0029352203649516367,0.9975273161974716
11,6.841644991367909e-6,9.111463171224904e-6,0.0015737519271006913,0.9991010681245723
12,2.906714595573259e-6,3.87106069084891e-6,0.0006686181031150688,0.9997696862276874
13,8.2927793473804e-7,1.104403308065299e-6,0.00019075496456520119,0.9999604411922525
14,1.5034996629079457e-7,2.002308191059155e-7,3.4584306769526454e-5,0.9999950254990221
15,2.1575051699631472e-8,2.873289818844597e-8,4.96280927064054e-6,0.9999999883082928
16,5.082790150003371e-11,6.76908189729981e-11,1.1691706897549645e-8,0.9999999999999998
