feature_a,feature_b,coefficient,interaction_effect,abs_interaction_effect
13,14,-0.010670313103264176,-0.0426812524130567,0.0426812524130567
13,16,-0.009323312641799544,-0.03729325056719818,0.03729325056719818
8,9,-0.009153304544315302,-0.03661321817726121,0.03661321817726121
3,8,-0.009109944654528204,-0.03643977861811282,0.03643977861811282
9,15,-0.008478646340381216,-0.03391458536152486,0.03391458536152486
14,16,-0.007115812887650078,-0.02846325155060031,0.02846325155060031
3,4,-0.006973333334871838,-0.02789333333948735,0.02789333333948735
4,15,-0.005207637176726691,-0.020830548706906763,0.020830548706906763
4,5,-0.005147939251446202,-0.02059175700578481,0.02059175700578481
4,12,-0.004910474717734884,-0.019641898870939537,0.019641898870939537
7,8,-0.004662169692937438,-0.018648678771749753,0.018648678771749753
3,15,-0.004521345124930646,-0.018085380499722584,0.018085380499722584
7,12,-0.004358361592539565,-0.01743344637015826,0.01743344637015826
5,7,-0.0043550542005046525,-0.01742021680201861,0.01742021680201861
8,15,-0.003977145804173758,-0.01590858321669503,0.01590858321669503
4,8,-0.0037474692881456365,-0.014989877152582546,0.014989877152582546
7,9,-0.003625304800197752,-0.014501219200791008,0.014501219200791008
4,9,-0.003593897038671982,-0.014375588154687927,0.014375588154687927
7,13,-0.0035762218067698784,-0.014304887227079514,0.014304887227079514
9,14,-0.0033315422033861767,-0.013326168813544707,0.013326168813544707
4,7,-0.003247680648246002,-0.012990722592984009,0.012990722592984009
5,11,-0.0032099467980966226,-0.01283978719238649,0.01283978719238649
3,9,-0.0031764117193684585,-0.012705646877473834,0.012705646877473834
15,16,-0.003030339342376065,-0.01212135736950426,0.01212135736950426
5,9,-0.0030153038970179994,-0.012061215588071997,0.012061215588071997
9,13,-0.002719729603131397,-0.010878918412525588,0.010878918412525588
7,14,-0.0027007505414527047,-0.010803002165810819,0.010803002165810819
4,16,-0.0026646676915784845,-0.010658670766313938,0.010658670766313938
7,16,-0.0026002635514028732,-0.010401054205611493,0.010401054205611493
11,15,0.0025731934656054584,0.010292773862421833,0.010292773862421833
9,12,-0.002551373549112738,-0.010205494196450952,0.010205494196450952
7,11,-0.0023737990368768594,-0.009495196147507438,0.009495196147507438
7,15,-0.0022469289652231753,-0.008987715860892701,0.008987715860892701
3,11,-0.0022260098167403855,-0.008904039266961542,0.008904039266961542
7,10,-0.002011846311733804,-0.008047385246935216,0.008047385246935216
3,5,-0.0019625107170664494,-0.007850042868265798,0.007850042868265798
4,13,-0.001912377550115322,-0.007649510200461288,0.007649510200461288
10,11,-0.001861040075754842,-0.007444160303019368,0.007444160303019368
14,15,-0.0018438110937946256,-0.007375244375178502,0.007375244375178502
13,15,-0.0018260710322006851,-0.0073042841288027405,0.0073042841288027405
3,7,-0.001649865314038449,-0.006599461256153796,0.006599461256153796
12,15,-0.0015881629024530192,-0.006352651609812077,0.006352651609812077
9,16,-0.0015747796870069358,-0.006299118748027743,0.006299118748027743
5,8,-0.0015731257972671088,-0.006292503189068435,0.006292503189068435
10,15,0.0015104184530631967,0.006041673812252787,0.006041673812252787
4,6,-0.001445397631914217,-0.005781590527656868,0.005781590527656868
1,7,0.0014268458052815035,0.005707383221126014,0.005707383221126014
12,14,-0.0013972366341927916,-0.005588946536771167,0.005588946536771167
12,16,-0.0013125191581362522,-0.005250076632545009,0.005250076632545009
8,14,-0.001234635427908485,-0.00493854171163394,0.00493854171163394
1,4,0.001154349159105935,0.00461739663642374,0.00461739663642374
6,15,-0.0011220701044745297,-0.004488280417898119,0.004488280417898119
5,12,-0.001102360663071137,-0.004409442652284548,0.004409442652284548
4,14,-0.0011015023601881483,-0.004406009440752593,0.004406009440752593
8,16,-0.001072733745831625,-0.0042909349833265,0.0042909349833265
3,12,-0.0010456486807466504,-0.0041825947229866016,0.0041825947229866016
5,15,-0.0009466579995656291,-0.0037866319982625164,0.0037866319982625164
12,13,-0.0009385202229619388,-0.0037540808918477553,0.0037540808918477553
2,12,0.0009334794439841275,0.00373391777593651,0.00373391777593651
11,12,-0.0008980520970449796,-0.0035922083881799183,0.0035922083881799183
11,16,-0.0008554854448899057,-0.003421941779559623,0.003421941779559623
2,3,0.0008348692471831086,0.0033394769887324345,0.0033394769887324345
4,11,-0.0008338027146688333,-0.003335210858675333,0.003335210858675333
2,16,0.0008291791854848484,0.0033167167419393935,0.0033167167419393935
2,8,0.0007964364758212682,0.003185745903285073,0.003185745903285073
6,9,-0.0007610721486795014,-0.0030442885947180058,0.0030442885947180058
2,13,0.0007566681724260193,0.003026672689704077,0.003026672689704077
10,12,-0.0007558263196638807,-0.0030233052786555227,0.0030233052786555227
5,14,-0.0007419359190403852,-0.002967743676161541,0.002967743676161541
10,16,-0.0007325888710052611,-0.0029303554840210445,0.0029303554840210445
2,15,0.0007215095810810667,0.0028860383243242667,0.0028860383243242667
6,12,0.0006480129376999898,0.0025920517507999593,0.0025920517507999593
11,13,-0.0006475532718919347,-0.0025902130875677387,0.0025902130875677387
2,5,0.0006404466975713362,0.002561786790285345,0.002561786790285345
8,13,-0.0006202782506530425,-0.00248111300261217,0.00248111300261217
3,16,-0.0006077541475402329,-0.0024310165901609317,0.0024310165901609317
1,14,0.0005976272504544099,0.0023905090018176397,0.0023905090018176397
11,14,0.0005877715447699522,0.0023510861790798088,0.0023510861790798088
8,11,0.0005839886870948462,0.002335954748379385,0.002335954748379385
1,12,0.0005816043776125511,0.0023264175104502046,0.0023264175104502046
3,13,0.000570127691344554,0.002280510765378216,0.002280510765378216
2,9,0.0005523270010148039,0.0022093080040592157,0.0022093080040592157
2,10,0.0005280725190008738,0.0021122900760034953,0.0021122900760034953
1,8,0.0005279131482442822,0.0021116525929771287,0.0021116525929771287
