order,mask,features,coefficient,abs_coefficient
1,128,8,-0.02070273655867784,0.02070273655867784
1,16384,15,-0.019198126531636772,0.019198126531636772
1,8,4,-0.017862636484141672,0.017862636484141672
1,64,7,-0.01784330430023108,0.01784330430023108
1,256,9,-0.01715726309616873,0.01715726309616873
1,4096,13,-0.016657665616594,0.016657665616594
1,4,3,-0.014761698048505037,0.014761698048505037
2,12288,13+14,-0.010670313103264176,0.010670313103264176
1,16,5,-0.010426998980664917,0.010426998980664917
1,8192,14,-0.01036729888533007,0.01036729888533007
1,32768,16,-0.00999190314819276,0.00999190314819276
2,36864,13+16,-0.009323312641799544,0.009323312641799544
1,1024,11,-0.009317461197542412,0.009317461197542412
2,384,8+9,-0.009153304544315302,0.009153304544315302
2,132,3+8,-0.009109944654528204,0.009109944654528204
2,16640,9+15,-0.008478646340381216,0.008478646340381216
3,45056,13+14+16,-0.007541913811155224,0.007541913811155224
2,40960,14+16,-0.007115812887650078,0.007115812887650078
2,12,3+4,-0.006973333334871838,0.006973333334871838
2,16392,4+15,-0.005207637176726691,0.005207637176726691
2,24,4+5,-0.005147939251446202,0.005147939251446202
2,2056,4+12,-0.004910474717734884,0.004910474717734884
1,32,6,0.00478543060758095,0.00478543060758095
2,192,7+8,-0.004662169692937438,0.004662169692937438
2,16388,3+15,-0.004521345124930646,0.004521345124930646
1,2048,12,-0.004504495600530914,0.004504495600530914
2,2112,7+12,-0.004358361592539565,0.004358361592539565
2,80,5+7,-0.0043550542005046525,0.0043550542005046525
3,16516,3+8+15,-0.00431093227239178,0.00431093227239178
2,16512,8+15,-0.003977145804173758,0.003977145804173758
2,136,4+8,-0.0037474692881456365,0.0037474692881456365
2,320,7+9,-0.003625304800197752,0.003625304800197752
2,264,4+9,-0.003593897038671982,0.003593897038671982
2,4160,7+13,-0.0035762218067698784,0.0035762218067698784
1,512,10,0.0033744710999148294,0.0033744710999148294
2,8448,9+14,-0.0033315422033861767,0.0033315422033861767
3,88,4+5+7,-0.0032786440761352212,0.0032786440761352212
2,72,4+7,-0.003247680648246002,0.003247680648246002
2,1040,5+11,-0.0032099467980966226,0.0032099467980966226
2,260,3+9,-0.0031764117193684585,0.0031764117193684585
2,49152,15+16,-0.003030339342376065,0.003030339342376065
2,272,5+9,-0.0030153038970179994,0.0030153038970179994
3,140,3+4+8,-0.002999663323907568,0.002999663323907568
3,12352,7+13+14,-0.0028131558320179254,0.0028131558320179254
1,2,2,0.0027698097273518426,0.0027698097273518426
2,4352,9+13,-0.002719729603131397,0.002719729603131397
2,8256,7+14,-0.0027007505414527047,0.0027007505414527047
2,32776,4+16,-0.0026646676915784845,0.0026646676915784845
3,2120,4+7+12,-0.002617684575897853,0.002617684575897853
2,32832,7+16,-0.0026002635514028732,0.0026002635514028732
