order,energy,share_of_total_energy,share_of_nonconstant_energy,cumulative_share_of_nonconstant_energy
0,0.0010523077043318222,0.0686760442536098,0.0,0.0
1,0.011922226833871905,0.778072206707307,0.8354474314834275,0.8354474314834275
2,0.002165452551492005,0.1413224617126468,0.15174361277906445,0.987191044262492
3,0.00013652351896211207,0.008909841856431058,0.009566855659039124,0.9967578999215312
4,2.302305734803436e-5,0.0015025381822999834,0.0016133356959510455,0.9983712356174822
5,1.664960116188362e-5,0.0010865916323633772,0.0011667171510610945,0.9995379527685433
6,4.519021690779886e-6,0.0002949218487534331,0.00031666945420412185,0.9998546222227473
7,7.481114425934074e-7,4.8823489865827315e-5,5.242374531931667e-5,0.9999070459680666
8,4.95071665840306e-7,3.2309526474051324e-5,3.469203844129353e-5,0.9999417380065079
9,4.350967922370727e-7,2.8395426960453617e-5,3.048931232279609e-5,0.9999722273188307
10,2.415169790598716e-7,1.57619588582654e-5,1.6924249355996977e-5,0.9999891515681867
11,9.389076160942957e-8,6.127529117910045e-6,6.5793745346099935e-6,0.9999957309427213
12,3.1006752769244136e-8,2.023572683707999e-6,2.172791402199301e-6,0.9999979037341236
13,1.623609747747324e-8,1.0596054217591038e-6,1.137740971035052e-6,0.9999990414750946
14,9.349512403564546e-9,6.101708891170527e-7,6.551650318369014e-7,0.9999996966401264
15,3.5680640726575554e-9,2.3286014646175904e-7,2.500313076078217e-7,0.9999999466714341
16,7.610236551342674e-10,4.966617083852928e-8,5.332856578216692e-8,0.9999999999999999
