feature_a,feature_b,coefficient,interaction_effect,abs_interaction_effect
4,8,-0.009367996429335857,-0.03747198571734343,0.03747198571734343
2,9,-0.008479219758345447,-0.03391687903338179,0.03391687903338179
8,9,-0.008027259868430359,-0.032109039473721436,0.032109039473721436
3,6,-0.007981557420197372,-0.03192622968078949,0.03192622968078949
6,10,-0.00777221870386604,-0.03108887481546416,0.03108887481546416
3,10,-0.007727882454690937,-0.030911529818763748,0.030911529818763748
2,4,-0.007716679365574984,-0.030866717462299936,0.030866717462299936
5,8,-0.0075788027650276705,-0.030315211060110682,0.030315211060110682
4,7,-0.0075072400859597325,-0.03002896034383893,0.03002896034383893
4,9,-0.007408899480441345,-0.02963559792176538,0.02963559792176538
2,8,-0.007401947355919059,-0.029607789423676235,0.029607789423676235
2,7,-0.007349534169424099,-0.029398136677696397,0.029398136677696397
7,8,-0.0071485680080230155,-0.028594272032092062,0.028594272032092062
2,6,-0.006942947987698811,-0.027771791950795245,0.027771791950795245
5,9,-0.006835845916174388,-0.027343383664697553,0.027343383664697553
2,5,-0.006796320562006098,-0.02718528224802439,0.02718528224802439
1,2,-0.006538291533405594,-0.026153166133622376,0.026153166133622376
4,5,-0.006227494752255392,-0.024909979009021567,0.024909979009021567
6,8,-0.0060192049561636155,-0.024076819824654462,0.024076819824654462
4,6,-0.00600503465422555,-0.0240201386169022,0.0240201386169022
8,10,-0.005864117300933525,-0.0234564692037341,0.0234564692037341
5,11,-0.005759927639036344,-0.023039710556145378,0.023039710556145378
3,9,-0.005690205555328088,-0.02276082222131235,0.02276082222131235
1,5,-0.005661356036870369,-0.022645424147481476,0.022645424147481476
9,10,-0.005637903237374143,-0.02255161294949657,0.02255161294949657
7,9,-0.0056130858324821235,-0.022452343329928494,0.022452343329928494
5,7,-0.0054822201161812915,-0.021928880464725166,0.021928880464725166
5,10,-0.0054434891090011876,-0.02177395643600475,0.02177395643600475
4,12,-0.005421311242247449,-0.021685244968989797,0.021685244968989797
3,8,-0.005389968746175167,-0.021559874984700668,0.021559874984700668
2,10,-0.005303633891588855,-0.02121453556635542,0.02121453556635542
4,10,-0.005276461947931988,-0.02110584779172795,0.02110584779172795
3,4,-0.005268136319517747,-0.021072545278070988,0.021072545278070988
6,7,-0.005231328944563596,-0.020925315778254384,0.020925315778254384
7,10,-0.005181760275280635,-0.02072704110112254,0.02072704110112254
6,9,-0.00514655595908955,-0.0205862238363582,0.0205862238363582
2,3,-0.005129258566756856,-0.020517034267027424,0.020517034267027424
5,6,-0.005122522933805907,-0.020490091735223627,0.020490091735223627
8,11,-0.005065152536434492,-0.02026061014573797,0.02026061014573797
6,11,-0.004917389206428946,-0.019669556825715785,0.019669556825715785
1,8,-0.0047731565932907175,-0.01909262637316287,0.01909262637316287
3,5,-0.004580825912643216,-0.018323303650572866,0.018323303650572866
1,4,-0.004488573230236237,-0.01795429292094495,0.01795429292094495
2,11,-0.004484543960205723,-0.01793817584082289,0.01793817584082289
3,7,-0.004464579480344422,-0.017858317921377688,0.017858317921377688
9,11,-0.004433936075673794,-0.017735744302695176,0.017735744302695176
1,9,-0.0042949950277660015,-0.017179980111064006,0.017179980111064006
2,12,-0.004129301146025522,-0.016517204584102087,0.016517204584102087
10,11,-0.003953738190392709,-0.015814952761570834,0.015814952761570834
7,11,-0.0038069352097125594,-0.015227740838850238,0.015227740838850238
4,11,-0.0036425094745198504,-0.014570037898079402,0.014570037898079402
4,14,-0.0035683351137721035,-0.014273340455088414,0.014273340455088414
6,12,-0.0034738039329511804,-0.013895215731804722,0.013895215731804722
15,16,-0.0033925874231670802,-0.013570349692668321,0.013570349692668321
3,11,-0.003293387008187731,-0.013173548032750924,0.013173548032750924
1,10,-0.0032473503304289103,-0.012989401321715641,0.012989401321715641
1,3,-0.0032433469264277147,-0.012973387705710859,0.012973387705710859
1,7,-0.0031536770607261348,-0.012614708242904539,0.012614708242904539
7,12,-0.003149484514682466,-0.012597938058729864,0.012597938058729864
9,14,-0.0030800809407936173,-0.01232032376317447,0.01232032376317447
9,12,-0.003049462730035724,-0.012197850920142896,0.012197850920142896
1,6,-0.0029717757106653368,-0.011887102842661347,0.011887102842661347
5,12,-0.0027753749385681873,-0.01110149975427275,0.01110149975427275
4,16,-0.0027100746302892945,-0.010840298521157178,0.010840298521157178
