order,mask,features,coefficient,abs_coefficient
1,16384,15,0.04509712563768168,0.04509712563768168
1,4096,13,0.045088235832650904,0.045088235832650904
1,32768,16,0.04228679843654952,0.04228679843654952
1,8192,14,0.0421696432423743,0.0421696432423743
1,2048,12,0.03305032579547166,0.03305032579547166
1,1024,11,0.028298013407976372,0.028298013407976372
1,512,10,0.02414594003155905,0.02414594003155905
1,4,3,0.022392530677762965,0.022392530677762965
1,1,1,0.021088023476096326,0.021088023476096326
1,32,6,0.018868122311715682,0.018868122311715682
1,64,7,0.014813010030167042,0.014813010030167042
1,16,5,0.01184689610775529,0.01184689610775529
1,8,4,0.01058910463078171,0.01058910463078171
2,136,4+8,-0.009367996429335857,0.009367996429335857
2,258,2+9,-0.008479219758345447,0.008479219758345447
2,384,8+9,-0.008027259868430359,0.008027259868430359
2,36,3+6,-0.007981557420197372,0.007981557420197372
2,544,6+10,-0.00777221870386604,0.00777221870386604
2,516,3+10,-0.007727882454690937,0.007727882454690937
2,10,2+4,-0.007716679365574984,0.007716679365574984
2,144,5+8,-0.0075788027650276705,0.0075788027650276705
2,72,4+7,-0.0075072400859597325,0.0075072400859597325
2,264,4+9,-0.007408899480441345,0.007408899480441345
2,130,2+8,-0.007401947355919059,0.007401947355919059
2,66,2+7,-0.007349534169424099,0.007349534169424099
2,192,7+8,-0.0071485680080230155,0.0071485680080230155
2,34,2+6,-0.006942947987698811,0.006942947987698811
2,272,5+9,-0.006835845916174388,0.006835845916174388
2,18,2+5,-0.006796320562006098,0.006796320562006098
2,3,1+2,-0.006538291533405594,0.006538291533405594
2,24,4+5,-0.006227494752255392,0.006227494752255392
2,160,6+8,-0.0060192049561636155,0.0060192049561636155
2,40,4+6,-0.00600503465422555,0.00600503465422555
2,640,8+10,-0.005864117300933525,0.005864117300933525
2,1040,5+11,-0.005759927639036344,0.005759927639036344
2,260,3+9,-0.005690205555328088,0.005690205555328088
2,17,1+5,-0.005661356036870369,0.005661356036870369
2,768,9+10,-0.005637903237374143,0.005637903237374143
2,320,7+9,-0.0056130858324821235,0.0056130858324821235
2,80,5+7,-0.0054822201161812915,0.0054822201161812915
2,528,5+10,-0.0054434891090011876,0.0054434891090011876
2,2056,4+12,-0.005421311242247449,0.005421311242247449
2,132,3+8,-0.005389968746175167,0.005389968746175167
2,514,2+10,-0.005303633891588855,0.005303633891588855
2,520,4+10,-0.005276461947931988,0.005276461947931988
2,12,3+4,-0.005268136319517747,0.005268136319517747
2,96,6+7,-0.005231328944563596,0.005231328944563596
2,576,7+10,-0.005181760275280635,0.005181760275280635
2,288,6+9,-0.00514655595908955,0.00514655595908955
2,6,2+3,-0.005129258566756856,0.005129258566756856
