order,energy,share_of_total_energy,share_of_nonconstant_energy,cumulative_share_of_nonconstant_energy
0,0.5891681792557696,0.9715006419569867,0.0,0.0
1,0.01493450509006165,0.024626043620740393,0.8640911694773236,0.8640911694773236
2,0.002154939682507206,0.003553357697591293,0.12468202589785701,0.9887731953751806
3,0.00013164815213010221,0.0002170793821017327,0.007616991995893387,0.9963901873710739
4,2.4772429539626777e-5,4.084815176369856e-5,0.0014333007677593108,0.9978234881388331
5,2.1490100046964873e-5,3.543580038168158e-5,0.001243389424007348,0.9990668775628405
6,8.694113668332019e-6,1.4336037327577472e-5,0.0005030301842567979,0.9995699077470973
7,3.047724811214718e-6,5.0255032685972065e-6,0.00017633741998722703,0.9997462451670845
8,1.5731588689198696e-6,2.5940383490950627e-6,9.102093967098995e-5,0.9998372661067555
9,1.0937288593042006e-6,1.8034889295669786e-6,6.328173872706246e-5,0.9999005478454824
10,7.668561427111287e-7,1.2644967280371404e-6,4.4369305656943815e-5,0.9999449171511394
11,4.866095565583426e-7,8.023880332030084e-7,2.815460025422271e-5,0.9999730717513937
12,2.7361124887830323e-7,4.511674480921508e-7,1.5830793360721142e-5,0.9999889025447545
13,1.3182044696723127e-7,2.1736348526746746e-7,7.626960752568747e-6,0.9999965295055071
14,4.714032790725537e-8,7.773138542854012e-8,2.727478468505223e-6,0.9999992569839757
15,1.1258352398242606e-8,1.8564302973875456e-8,6.513937242325534e-7,0.9999999083777
16,1.5835524645362254e-9,2.6111767234490304e-9,9.16222996850682e-8,0.9999999999999998
