feature_a,feature_b,coefficient,interaction_effect,abs_interaction_effect
4,8,-0.009355789211818498,-0.03742315684727399,0.03742315684727399
2,9,-0.008467012540828088,-0.03386805016331235,0.03386805016331235
8,9,-0.008015052650913,-0.032060210603652,0.032060210603652
3,6,-0.007969350202680013,-0.031877400810720054,0.031877400810720054
6,10,-0.0077600114863486825,-0.03104004594539473,0.03104004594539473
3,10,-0.007715675237173579,-0.030862700948694317,0.030862700948694317
2,4,-0.007704472148057627,-0.03081788859223051,0.03081788859223051
5,8,-0.007566595547510312,-0.030266382190041248,0.030266382190041248
4,7,-0.007495032868442374,-0.029980131473769496,0.029980131473769496
4,9,-0.007396692262923986,-0.029586769051695945,0.029586769051695945
2,8,-0.0073897401384017,-0.0295589605536068,0.0295589605536068
2,7,-0.007337326951906741,-0.029349307807626963,0.029349307807626963
7,8,-0.007136360790505657,-0.028545443162022628,0.028545443162022628
2,6,-0.006930740770181453,-0.02772296308072581,0.02772296308072581
5,9,-0.00682363869865703,-0.02729455479462812,0.02729455479462812
2,5,-0.006784113344488739,-0.027136453377954957,0.027136453377954957
1,2,-0.006526084315888235,-0.02610433726355294,0.02610433726355294
4,5,-0.006215287534738033,-0.024861150138952133,0.024861150138952133
6,8,-0.006006997738646257,-0.024027990954585028,0.024027990954585028
4,6,-0.005992827436708191,-0.023971309746832765,0.023971309746832765
8,10,-0.005851910083416166,-0.023407640333664666,0.023407640333664666
5,11,-0.005747720421518986,-0.022990881686075944,0.022990881686075944
3,9,-0.005677998337810729,-0.022711993351242916,0.022711993351242916
1,5,-0.0056491488193530105,-0.022596595277412042,0.022596595277412042
9,10,-0.005625696019856784,-0.022502784079427136,0.022502784079427136
7,9,-0.005600878614964765,-0.02240351445985906,0.02240351445985906
5,7,-0.005470012898663933,-0.021880051594655732,0.021880051594655732
5,10,-0.005431281891483829,-0.021725127565935316,0.021725127565935316
4,12,-0.005409104024730093,-0.02163641609892037,0.02163641609892037
3,8,-0.0053777615286578085,-0.021511046114631234,0.021511046114631234
2,10,-0.005291426674071497,-0.021165706696285987,0.021165706696285987
4,10,-0.005264254730414629,-0.021057018921658517,0.021057018921658517
3,4,-0.0052559291020003885,-0.021023716408001554,0.021023716408001554
6,7,-0.005219121727046238,-0.02087648690818495,0.02087648690818495
7,10,-0.005169553057763275,-0.0206782122310531,0.0206782122310531
6,9,-0.005134348741572191,-0.020537394966288765,0.020537394966288765
2,3,-0.005117051349239498,-0.02046820539695799,0.02046820539695799
5,6,-0.005110315716288548,-0.020441262865154193,0.020441262865154193
8,11,-0.005052945318917134,-0.020211781275668535,0.020211781275668535
6,11,-0.004905181988911588,-0.01962072795564635,0.01962072795564635
1,8,-0.004760949375773359,-0.019043797503093436,0.019043797503093436
3,5,-0.004568618695125858,-0.01827447478050343,0.01827447478050343
1,4,-0.004476366012718879,-0.017905464050875515,0.017905464050875515
2,11,-0.004472336742688364,-0.017889346970753457,0.017889346970753457
3,7,-0.0044523722628270635,-0.017809489051308254,0.017809489051308254
9,11,-0.004421728858156436,-0.017686915432625745,0.017686915432625745
1,9,-0.004282787810248644,-0.017131151240994576,0.017131151240994576
2,12,-0.004117093928508163,-0.016468375714032653,0.016468375714032653
10,11,-0.00394153097287535,-0.0157661238915014,0.0157661238915014
7,11,-0.003794727992195201,-0.015178911968780804,0.015178911968780804
4,11,-0.003630302257002493,-0.014521209028009971,0.014521209028009971
4,14,-0.003556127896254745,-0.01422451158501898,0.01422451158501898
6,12,-0.003461596715433823,-0.013846386861735291,0.013846386861735291
15,16,-0.0033803802056497356,-0.013521520822598943,0.013521520822598943
3,11,-0.0032811797906703737,-0.013124719162681495,0.013124719162681495
1,10,-0.003235143112911553,-0.012940572451646213,0.012940572451646213
1,3,-0.003231139708910357,-0.012924558835641429,0.012924558835641429
1,7,-0.0031414698432087767,-0.012565879372835107,0.012565879372835107
7,12,-0.003137277297165108,-0.012549109188660432,0.012549109188660432
9,14,-0.003067873723276259,-0.012271494893105035,0.012271494893105035
9,12,-0.003037255512518366,-0.012149022050073463,0.012149022050073463
1,6,-0.0029595684931479787,-0.011838273972591915,0.011838273972591915
5,12,-0.0027631677210508293,-0.011052670884203317,0.011052670884203317
4,16,-0.0026978674127719343,-0.010791469651087737,0.010791469651087737
8,12,-0.0026967118508679938,-0.010786847403471975,0.010786847403471975
9,16,-0.0024381875510159218,-0.009752750204063687,0.009752750204063687
7,15,-0.0023961645991136694,-0.009584658396454677,0.009584658396454677
1,11,-0.0023731607438236984,-0.009492642975294794,0.009492642975294794
2,14,-0.0023348145266852017,-0.009339258106740807,0.009339258106740807
1,12,-0.0022808453705153602,-0.009123381482061441,0.009123381482061441
10,12,-0.0022365422737863783,-0.008946169095145513,0.008946169095145513
7,16,-0.0021891124691052893,-0.008756449876421157,0.008756449876421157
3,12,-0.0021802154549647617,-0.008720861819859047,0.008720861819859047
11,12,-0.002170969410408995,-0.00868387764163598,0.00868387764163598
6,14,-0.0021692040773275013,-0.008676816309310005,0.008676816309310005
7,13,-0.0020455701499401562,-0.008182280599760625,0.008182280599760625
6,16,-0.0020199797107040424,-0.00807991884281617,0.00807991884281617
7,14,-0.001983428714575618,-0.007933714858302472,0.007933714858302472
6,13,-0.0018884098028963286,-0.007553639211585314,0.007553639211585314
3,14,-0.0018849708654131037,-0.007539883461652415,0.007539883461652415
4,13,-0.0018796318336541822,-0.007518527334616729,0.007518527334616729
5,14,-0.001878727347994479,-0.007514909391977916,0.007514909391977916
10,14,-0.0018168435579270382,-0.007267374231708153,0.007267374231708153
2,13,-0.001813105486272159,-0.007252421945088636,0.007252421945088636
4,15,-0.0018129691452856578,-0.007251876581142631,0.007251876581142631
11,14,-0.0017280195789141518,-0.006912078315656607,0.006912078315656607
12,14,-0.0017047467974095482,-0.006818987189638193,0.006818987189638193
10,16,-0.0016809414533242462,-0.006723765813296985,0.006723765813296985
11,16,-0.0016593200537415188,-0.006637280214966075,0.006637280214966075
3,16,-0.0016470758321617696,-0.0065883033286470785,0.0065883033286470785
8,13,-0.0016414749564234604,-0.0065658998256938415,0.0065658998256938415
9,13,-0.001637315472672251,-0.006549261890689004,0.006549261890689004
2,16,-0.0016282564288673668,-0.006513025715469467,0.006513025715469467
6,15,-0.0016236741460404092,-0.006494696584161637,0.006494696584161637
9,15,-0.001613178216794674,-0.006452712867178696,0.006452712867178696
8,14,-0.0015669834552142648,-0.006267933820857059,0.006267933820857059
2,15,-0.0015430049348112308,-0.006172019739244923,0.006172019739244923
11,15,-0.0015299033155230946,-0.0061196132620923785,0.0061196132620923785
1,14,-0.001473356274610248,-0.005893425098440992,0.005893425098440992
10,15,-0.001458006144312728,-0.005832024577250912,0.005832024577250912
8,15,-0.0014504924795716734,-0.005801969918286694,0.005801969918286694
11,13,-0.0014276433565016278,-0.005710573426006511,0.005710573426006511
5,16,-0.0013986389288135753,-0.005594555715254301,0.005594555715254301
1,16,-0.0013587034987182934,-0.005434813994873174,0.005434813994873174
