order,mask,features,coefficient,abs_coefficient
1,2,2,-0.048520669315544815,0.048520669315544815
1,256,9,-0.04580520034361661,0.04580520034361661
1,128,8,-0.04559907471199558,0.04559907471199558
1,8,4,-0.03939868815170093,0.03939868815170093
1,16,5,-0.03814089667472735,0.03814089667472735
1,64,7,-0.0351747827523156,0.0351747827523156
1,32,6,-0.031119670470766955,0.031119670470766955
1,1,1,-0.02889976930638631,0.02889976930638631
1,4,3,-0.027595262104719673,0.027595262104719673
1,512,10,-0.025841852750923586,0.025841852750923586
1,1024,11,-0.021689779374506266,0.021689779374506266
1,2048,12,-0.01693746698701097,0.01693746698701097
2,136,4+8,-0.009355789211818498,0.009355789211818498
2,258,2+9,-0.008467012540828088,0.008467012540828088
2,384,8+9,-0.008015052650913,0.008015052650913
2,36,3+6,-0.007969350202680013,0.007969350202680013
1,8192,14,-0.00781814954010833,0.00781814954010833
2,544,6+10,-0.0077600114863486825,0.0077600114863486825
2,516,3+10,-0.007715675237173579,0.007715675237173579
2,10,2+4,-0.007704472148057627,0.007704472148057627
1,32768,16,-0.007700994345933132,0.007700994345933132
2,144,5+8,-0.007566595547510312,0.007566595547510312
2,72,4+7,-0.007495032868442374,0.007495032868442374
2,264,4+9,-0.007396692262923986,0.007396692262923986
2,130,2+8,-0.0073897401384017,0.0073897401384017
2,66,2+7,-0.007337326951906741,0.007337326951906741
2,192,7+8,-0.007136360790505657,0.007136360790505657
2,34,2+6,-0.006930740770181453,0.006930740770181453
2,272,5+9,-0.00682363869865703,0.00682363869865703
2,18,2+5,-0.006784113344488739,0.006784113344488739
2,3,1+2,-0.006526084315888235,0.006526084315888235
2,24,4+5,-0.006215287534738033,0.006215287534738033
2,160,6+8,-0.006006997738646257,0.006006997738646257
2,40,4+6,-0.005992827436708191,0.005992827436708191
2,640,8+10,-0.005851910083416166,0.005851910083416166
2,1040,5+11,-0.005747720421518986,0.005747720421518986
2,260,3+9,-0.005677998337810729,0.005677998337810729
2,17,1+5,-0.0056491488193530105,0.0056491488193530105
2,768,9+10,-0.005625696019856784,0.005625696019856784
2,320,7+9,-0.005600878614964765,0.005600878614964765
2,80,5+7,-0.005470012898663933,0.005470012898663933
2,528,5+10,-0.005431281891483829,0.005431281891483829
2,2056,4+12,-0.005409104024730093,0.005409104024730093
2,132,3+8,-0.0053777615286578085,0.0053777615286578085
2,514,2+10,-0.005291426674071497,0.005291426674071497
2,520,4+10,-0.005264254730414629,0.005264254730414629
2,12,3+4,-0.0052559291020003885,0.0052559291020003885
2,96,6+7,-0.005219121727046238,0.005219121727046238
2,576,7+10,-0.005169553057763275,0.005169553057763275
2,288,6+9,-0.005134348741572191,0.005134348741572191
