order,energy,share_of_total_energy,share_of_nonconstant_energy,cumulative_share_of_nonconstant_energy
0,0.012511028282680296,0.20949383922211845,0.0,0.0
1,0.04689537850176025,0.7852506334518051,0.9933516933999542,0.9933516933999542
2,0.00011552562936252424,0.0019344459205811828,0.002447097842574219,0.9957987912425285
3,3.141388883123529e-5,0.0005260172087743395,0.0006654182280587453,0.9964642094705872
4,1.4894765824271188e-5,0.00024940889000791893,0.00031550530834888516,0.9967797147789361
5,1.0175580625605277e-5,0.00017038738970187722,0.00021554214015765666,0.9969952569190939
6,1.0774209754631487e-5,0.00018041127516327487,0.000228222478349498,0.9972234793974433
7,1.5134784344497913e-5,0.00025342793625660477,0.00032058945120329497,0.9975440688486465
8,2.0841820576922037e-5,0.0003489907392410232,0.0004414775703931338,0.9979855464190396
9,2.48294587614622e-5,0.00041576267947110863,0.0005259448946760716,0.9985114913137157
10,2.484745823840899e-5,0.00041606407592265315,0.0005263261648881189,0.9990378174786038
11,2.020981756248931e-5,0.00033840801694978246,0.00042809029674958996,0.9994659077753534
12,1.3578713275312145e-5,0.0002273719402968262,0.0002876282963729029,0.9997535360717263
13,7.199194909887374e-6,0.00012054860295284484,0.00015249546295024622,0.9999060315346766
14,3.095151041749473e-6,5.182748052820512e-5,6.556239925721177e-5,0.9999715939339338
15,1.031956529302723e-6,1.7279837464138874e-5,2.185920657105948e-5,0.9999934531405049
16,2.609462163703967e-7,4.369474951439286e-6,5.527439466302948e-6,0.9999989805799713
17,4.506186087116018e-8,7.545488686538153e-7,9.54513583943883e-7,0.9999999350935551
18,3.047021354116681e-9,5.102156171682227e-8,6.454290206494473e-8,0.9999999996364572
19,1.716258158075615e-11,2.8738286135063784e-10,3.635428483793783e-10,1.0000000000000002
