order,mask,features,coefficient,abs_coefficient
1,16,5,0.05543338559588824,0.05543338559588824
1,262144,19,0.054014064905386266,0.054014064905386266
1,256,9,0.052820437082727725,0.052820437082727725
1,65536,17,0.05269438335259998,0.05269438335259998
1,512,10,0.05228214283390094,0.05228214283390094
1,1024,11,0.051793643027549255,0.051793643027549255
1,64,7,0.051736899308634524,0.051736899308634524
1,32768,16,0.0509345265910904,0.0509345265910904
1,16384,15,0.050787794812476715,0.050787794812476715
1,32,6,0.0489033591865516,0.0489033591865516
1,8192,14,0.04884403271573297,0.04884403271573297
1,2,2,0.04814324617079342,0.04814324617079342
1,131072,18,0.04811095024107977,0.04811095024107977
1,2048,12,0.04803598755885992,0.04803598755885992
1,128,8,0.04784915168253952,0.04784915168253952
1,4,3,0.04733578220672803,0.04733578220672803
1,8,4,0.04629649052018954,0.04629649052018954
1,1,1,0.04398713335073785,0.04398713335073785
1,4096,13,0.041788099866534825,0.041788099866534825
2,40,4+6,0.0038443208496753423,0.0038443208496753423
2,10,2+4,-0.0037636604817000703,0.0037636604817000703
2,18,2+5,-0.0033142911344204995,0.0033142911344204995
2,4112,5+13,-0.0027739747855596315,0.0027739747855596315
2,48,5+6,0.002734531959613151,0.002734531959613151
2,3,1+2,0.002579699045208828,0.002579699045208828
2,4097,1+13,-0.0023027557302887094,0.0023027557302887094
2,9,1+4,0.0021431695539556594,0.0021431695539556594
2,24,4+5,-0.0019589263753280184,0.0019589263753280184
2,4104,4+13,-0.0018277214838965396,0.0018277214838965396
3,25,1+4+5,0.0018116235840986994,0.0018116235840986994
3,56,4+5+6,-0.0016557122952510761,0.0016557122952510761
2,33,1+6,-0.0016068168055246579,0.0016068168055246579
2,6,2+3,-0.001516292472051872,0.001516292472051872
2,12288,13+14,0.0013877799918825503,0.0013877799918825503
2,132,3+8,-0.0013719446743655221,0.0013719446743655221
2,8320,8+14,-0.0013560351548042048,0.0013560351548042048
2,34,2+6,-0.0013339464993625816,0.0013339464993625816
2,160,6+8,-0.0011812247988748365,0.0011812247988748365
2,266240,13+19,-0.0011331336546666106,0.0011331336546666106
2,5,1+3,0.0011214317827304976,0.0011214317827304976
2,262152,4+19,-0.0010521559114570235,0.0010521559114570235
2,4100,3+13,0.001038183962118409,0.001038183962118409
2,2080,6+12,-0.0010341453611365527,0.0010341453611365527
3,11,1+2+4,0.00100902231531086,0.00100902231531086
2,72,4+7,0.0009971610703539688,0.0009971610703539688
4,4115,1+2+5+13,0.0009918863476011688,0.0009918863476011688
2,8194,2+14,0.000991836411339817,0.000991836411339817
3,4113,1+5+13,-0.0009719080484321675,0.0009719080484321675
3,4099,1+2+13,0.000964055724234415,0.000964055724234415
2,144,5+8,0.0009485683807449735,0.0009485683807449735
