order,energy,share_of_total_energy,share_of_nonconstant_energy,cumulative_share_of_nonconstant_energy
0,0.7024939205421529,0.9992484341873517,0.0,0.0
1,0.00021619771583036027,0.00030752611901842985,0.40918055856588437,0.40918055856588437
2,0.00011548593230310764,0.00016427065580224093,0.2185712189640609,0.6277517775299453
3,3.142177813782856e-5,4.46952801803265e-5,0.0594695493437053,0.6872213268736506
4,1.4907745659276933e-5,2.1205224802229306e-5,0.028214727766168506,0.715436054639819
5,1.0166011778629993e-5,1.446044023254525e-5,0.01924041779068156,0.7346764724305005
6,1.0705788754974583e-5,1.5228235202224778e-5,0.020262011584276433,0.754938484014777
7,1.4983238312844638e-5,2.1312607818173358e-5,0.028357606824977302,0.7832960908397544
8,2.0555997540806376e-5,2.9239467780671412e-5,0.03890473367547457,0.8222008245152289
9,2.451903395513233e-5,3.4876609705809314e-5,0.04640526367600067,0.8686060881912296
10,2.4546142643762005e-5,3.491516991803887e-5,0.046456570177148826,0.9150626583683784
11,1.9976841448322498e-5,2.8415658774441222e-5,0.037808610099380295,0.9528712684677587
12,1.3399954880676643e-5,1.906049795045001e-5,0.02536104973067874,0.9782323181984375
13,7.119974717331768e-6,1.0127665705998647e-5,0.01347542096188821,0.9917077391603257
14,3.053459608465315e-6,4.343332580385236e-6,0.0057790449050375715,0.9974867840653634
15,1.0208552252292547e-6,1.452095107890829e-6,0.0019320930828055922,0.9994188771481691
16,2.5871220661907163e-7,3.68000006561978e-7,0.0004896444201809578,0.99990852156835
17,4.50984852548811e-8,6.414943881703987e-8,8.535438645220027e-5,0.999993875954802
18,3.2002873987222904e-9,4.55218483549976e-9,6.056934414644994e-6,0.9999999328892166
19,3.545915809132976e-11,5.043817058661208e-11,6.711078356383267e-8,1.0000000000000002
