feature_a,feature_b,coefficient,interaction_effect,abs_interaction_effect
4,6,0.0038461328343326016,0.015384531337330407,0.015384531337330407
2,4,-0.0037618484970428114,-0.015047393988171245,0.015047393988171245
2,5,-0.00331247914976324,-0.01324991659905296,0.01324991659905296
5,13,-0.0027721628009023704,-0.011088651203609481,0.011088651203609481
5,6,0.0027363439442704106,0.010945375777081642,0.010945375777081642
1,2,0.002581511029866087,0.010326044119464348,0.010326044119464348
1,13,-0.0023009437456314487,-0.009203774982525795,0.009203774982525795
1,4,0.002144981538612919,0.008579926154451675,0.008579926154451675
4,5,-0.001957114390670759,-0.007828457562683036,0.007828457562683036
4,13,-0.001825909499239279,-0.007303637996957116,0.007303637996957116
1,6,-0.0016050048208673985,-0.006420019283469594,0.006420019283469594
2,3,-0.0015144804873946129,-0.006057921949578451,0.006057921949578451
13,14,0.0013895919765398133,0.005558367906159253,0.005558367906159253
3,8,-0.0013701326897082623,-0.005480530758833049,0.005480530758833049
8,14,-0.0013542231701469433,-0.005416892680587773,0.005416892680587773
2,6,-0.0013321345147053222,-0.005328538058821289,0.005328538058821289
6,8,-0.0011794128142175765,-0.004717651256870306,0.004717651256870306
13,19,-0.0011313216700093477,-0.004525286680037391,0.004525286680037391
1,3,0.001123243767387757,0.004492975069551028,0.004492975069551028
4,19,-0.0010503439267997607,-0.004201375707199043,0.004201375707199043
3,13,0.0010399959467756702,0.004159983787102681,0.004159983787102681
6,12,-0.001032333376479292,-0.004129333505917168,0.004129333505917168
4,7,0.0009989730550112284,0.003995892220044914,0.003995892220044914
2,14,0.0009936483959970786,0.0039745935839883145,0.0039745935839883145
5,8,0.0009503803654022336,0.003801521461608934,0.003801521461608934
2,8,-0.0009311741500189241,-0.0037246966000756966,0.0037246966000756966
1,8,-0.0009019083581099408,-0.003607633432439763,0.003607633432439763
3,6,-0.0008112400202482973,-0.003244960080993189,0.003244960080993189
4,8,0.0008029283781704721,0.0032117135126818884,0.0032117135126818884
3,14,-0.0007792420662374211,-0.0031169682649496845,0.0031169682649496845
2,19,-0.0007402754333090712,-0.002961101733236285,0.002961101733236285
2,13,0.000717991773690082,0.002871967094760328,0.002871967094760328
8,18,-0.0006783115265354723,-0.002713246106141889,0.002713246106141889
4,16,0.0006354592060868158,0.002541836824347263,0.002541836824347263
4,14,-0.0006353912055421829,-0.0025415648221687316,0.0025415648221687316
2,7,-0.0006347456462028645,-0.002538982584811458,0.002538982584811458
1,7,-0.0006001450153055344,-0.0024005800612221374,0.0024005800612221374
13,18,0.0005896132116229268,0.002358452846491707,0.002358452846491707
5,7,0.0005619420342734515,0.002247768137093806,0.002247768137093806
5,16,0.0005165778780517571,0.0020663115122070285,0.0020663115122070285
12,13,-0.0005057910117832222,-0.0020231640471328888,0.0020231640471328888
3,18,-0.0004965422605712233,-0.0019861690422848933,0.0019861690422848933
3,19,-0.0004610475058873277,-0.0018441900235493108,0.0018441900235493108
7,8,-0.000454704710300794,-0.001818818841203176,0.001818818841203176
