order,mask,features,coefficient,abs_coefficient
1,4096,13,-0.008210088148807918,0.008210088148807918
1,1,1,-0.00601105466460489,0.00601105466460489
1,16,5,0.0054351975805455,0.0054351975805455
1,262144,19,0.004015876890043513,0.004015876890043513
2,40,4+6,0.0038461328343326016,0.0038461328343326016
2,10,2+4,-0.0037618484970428114,0.0037618484970428114
1,8,4,-0.0037016974951532035,0.0037016974951532035
2,18,2+5,-0.00331247914976324,0.00331247914976324
1,256,9,0.002822249067384982,0.002822249067384982
2,4112,5+13,-0.0027721628009023704,0.0027721628009023704
2,48,5+6,0.0027363439442704106,0.0027363439442704106
1,65536,17,0.0026961953372572345,0.0026961953372572345
1,4,3,-0.002662405808614713,0.002662405808614713
2,3,1+2,0.002581511029866087,0.002581511029866087
2,4097,1+13,-0.0023009437456314487,0.0023009437456314487
1,512,10,0.0022839548185581947,0.0022839548185581947
1,128,8,-0.002149036332803226,0.002149036332803226
2,9,1+4,0.002144981538612919,0.002144981538612919
1,2048,12,-0.0019622004564828245,0.0019622004564828245
2,24,4+5,-0.001957114390670759,0.001957114390670759
1,131072,18,-0.0018872377742629731,0.0018872377742629731
1,2,2,-0.0018549418445493217,0.0018549418445493217
2,4104,4+13,-0.001825909499239279,0.001825909499239279
3,25,1+4+5,0.0018134355687559577,0.0018134355687559577
1,1024,11,0.0017954550122065115,0.0017954550122065115
1,64,7,0.0017387112932917802,0.0017387112932917802
3,56,4+5+6,-0.0016539003105938178,0.0016539003105938178
2,33,1+6,-0.0016050048208673985,0.0016050048208673985
2,6,2+3,-0.0015144804873946129,0.0015144804873946129
2,12288,13+14,0.0013895919765398133,0.0013895919765398133
2,132,3+8,-0.0013701326897082623,0.0013701326897082623
2,8320,8+14,-0.0013542231701469433,0.0013542231701469433
2,34,2+6,-0.0013321345147053222,0.0013321345147053222
2,160,6+8,-0.0011794128142175765,0.0011794128142175765
1,8192,14,-0.001154155299609775,0.001154155299609775
2,266240,13+19,-0.0011313216700093477,0.0011313216700093477
2,5,1+3,0.001123243767387757,0.001123243767387757
1,32,6,-0.0010948288287911424,0.0010948288287911424
2,262152,4+19,-0.0010503439267997607,0.0010503439267997607
2,4100,3+13,0.0010399959467756702,0.0010399959467756702
2,2080,6+12,-0.001032333376479292,0.001032333376479292
3,11,1+2+4,0.0010108342999681184,0.0010108342999681184
2,72,4+7,0.0009989730550112284,0.0009989730550112284
4,4115,1+2+5+13,0.0009936983322584268,0.0009936983322584268
2,8194,2+14,0.0009936483959970786,0.0009936483959970786
3,4113,1+5+13,-0.000970096063774909,0.000970096063774909
3,4099,1+2+13,0.0009658677088916734,0.0009658677088916734
2,144,5+8,0.0009503803654022336,0.0009503803654022336
1,32768,16,0.0009363385757476528,0.0009363385757476528
2,130,2+8,-0.0009311741500189241,0.0009311741500189241
