landscape,objective,n_features,imputed_empty_value,mean_value,std_value,min_value,max_value,constant_coefficient,constant_energy,nonconstant_energy,first_order_energy_ratio,second_order_energy_ratio,third_and_higher_order_energy_ratio
01-breast-w_lr_F,raw_accuracy,9,0.9521745456174862,0.9521745456174862,0.016703254117536252,0.7878048419952393,0.9701218605041504,0.9521745456174862,0.9066363653218662,0.000278453778782736,0.5614681077497429,0.20691764360930173,0.23161424864095542
01-breast-w_lr_F,penalized_fitness,9,0.5012939193943943,0.5012939193943942,0.13901694880056542,0.06722555160522459,0.832316780090332,0.5012939193943942,0.2512955936217933,0.019287966522463906,0.9763108065234659,0.007505414202893147,0.01618377927364111
05-credit-a_rf_F,raw_accuracy,15,0.8001321432598998,0.8001321432598998,0.06916531013321142,0.5204082727432251,0.8912625908851624,0.8001321432598998,0.6402114466776808,0.004783694134608542,0.8922617845313421,0.07790911818011456,0.029829097288543226
05-credit-a_rf_F,penalized_fitness,15,0.05010925437779274,0.05010925437779275,0.177209092039965,-0.6286669373512268,0.7627232909202576,0.05010925437779272,0.002510937374298339,0.0314021039562216,0.9831994702319385,0.011955176207684867,0.004845353560376618
06-zoo_lr_F,raw_accuracy,16,0.8640230864538812,0.8640230864538812,0.06593491392187338,0.37812501192092896,0.9791666865348816,0.8640230864538812,0.746535893925291,0.004347346537628843,0.6187508653433871,0.2189623917273749,0.1622867429292377
06-zoo_lr_F,penalized_fitness,16,0.06401087923636374,0.06401087923636374,0.16916733722564634,-0.6572917461395265,0.6093750476837159,0.06401087923636373,0.004097392660612341,0.028617151314277008,0.9418758553925728,0.033409529708646746,0.024714614898780497
08-letter-r_knn_F,raw_accuracy,16,0.7675729146183897,0.7675729146183896,0.13146766442425178,0.038708336651325226,0.9563332796096802,0.7675729146183896,0.5891681792557696,0.017283483060121212,0.8640911694773236,0.12468202589785701,0.011226804624819002
08-letter-r_knn_F,penalized_fitness,16,-0.03243929259912772,-0.03243929259912773,0.11945998052494544,-0.6539218783378602,0.3063124418258667,-0.032439292599127714,0.0010523077043318222,0.01427046919361844,0.8354474314834275,0.15174361277906445,0.012808955737507866
10-hepatitis_lr_F,raw_accuracy,19,0.8381491040036687,0.8381491040036688,0.022986268183812775,0.7343750596046448,0.9375000596046448,0.8381491040036688,0.7024939205421529,0.0005283675172351795,0.40918055856588437,0.2185712189640609,0.37224822247005496
10-hepatitis_lr_F,penalized_fitness,19,-0.11185270798098854,-0.11185270798098852,0.21727708127713527,-1.086197876930237,0.7593749403953552,-0.11185270798098854,0.012511028282680296,0.04720924000365973,0.9933516933999542,0.002447097842574219,0.004201208757471575
